,회사명,거래소코드,회계년도,설비투자효율,총자본투자효율,부채구성비율,비유동장기적합률,재고자산보유기간,매출채권회수기간,매입채무회전률,경영자본회전률,경영자본순이익률,자기자본순이익률,자기자본증가율,년,key,부도
28,(주)광진윈텍,90150.0,2019/12,51.38,10.86,54.5968699660188,80.62,41.38321995464853,112.3076923076923,6.11,1.49,4.07,6.85,22.0,2019.0,901502020.0,0.0
29,(주)광진윈텍,90150.0,2020/12,43.25,9.39,52.94588078015708,90.43,43.97590361445783,113.0030959752322,6.04,1.43,2.89,4.24,2.09,2020.0,901502021.0,0.0
30,(주)구영테크,53270.0,2019/12,19.27,9.31,58.4011061084128,109.87,38.91257995735607,64.37389770723104,15.5,0.87,1.45,2.67,1.4,2019.0,532702020.0,0.0
31,(주)구영테크,53270.0,2020/12,19.98,9.06,61.140187781622814,110.19,42.79015240328253,68.35205992509364,10.49,0.75,0.8,1.54,0.1,2020.0,532702021.0,0.0
32,(주)국보디자인,66620.0,2019/12,280.68,11.88,43.32783851296002,23.8,0.0,58.58747993579454,12.5,1.45,5.8,8.82,8.18,2019.0,666202020.0,0.0
33,(주)국보디자인,66620.0,2020/12,421.94,13.66,38.71306277870036,100.99,0.0,55.21936459909228,11.76,1.79,10.43,11.17,36.0,2020.0,666202021.0,0.0
34,(주)국순당,43650.0,2019/12,20.43,4.41,6.229792340255324,73.31,80.93126385809313,49.72752043596731,28.5,0.4,0.48,0.29,-3.23,2019.0,436502020.0,0.0
35,(주)국순당,43650.0,2020/12,53.86,10.35,6.974408438489991,77.26,72.42063492063492,47.96320630749014,39.09,0.47,14.27,7.57,6.77,2020.0,436502021.0,0.0
36,(주)국영지앤엠,6050.0,2019/12,12.55,5.68,23.058100412193948,64.9,13.068385248836377,49.4579945799458,131.19,1.18,1.76,2.08,2.08,2019.0,60502020.0,0.0
37,(주)국영지앤엠,6050.0,2020/12,2.95,1.31,27.153424344547894,68.5,12.223710649698594,59.25324675324675,152.18,0.97,-1.97,-2.51,-3.43,2020.0,60502021.0,0.0
38,(주)국전약품,307750.0,2019/12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,3077502020.0,0.0
39,(주)국전약품,307750.0,2020/12,28.63,6.94,44.24068371336632,52.19,54.559043348281016,71.5686274509804,13.66,1.47,-6.05,-10.29,0.0,2020.0,3077502021.0,0.0
40,(주)그리티,204020.0,2019/12,510.19,12.92,13.789687111193032,24.1,95.54973821989527,14.72962066182405,45.29,1.54,3.34,3.53,1.06,2019.0,2040202020.0,0.0
41,(주)그리티,204020.0,2020/12,257.31,11.95,11.282082324455208,32.64,99.4550408719346,19.414893617021274,53.97,1.67,2.15,2.08,-2.07,2020.0,2040202021.0,0.0
42,(주)그린플러스,186230.0,2019/12,40.02,12.2,35.016257863858065,64.85,55.21936459909228,132.72727272727272,33.18,0.93,5.75,8.09,56.64,2019.0,1862302020.0,0.0
43,(주)그린플러스,186230.0,2020/12,8.17,2.27,54.02199312714777,70.53,36.463536463536464,114.0625,28.56,1.01,-3.53,-5.5,-9.04,2020.0,1862302021.0,0.0
44,(주)글로벌스탠다드테크놀로지,83450.0,2019/12,107.26,26.38,25.276896118495007,46.65,35.99605522682445,63.81118881118881,17.28,1.56,17.66,20.89,24.45,2019.0,834502020.0,0.0
45,(주)글로벌스탠다드테크놀로지,83450.0,2020/12,81.14,19.25,18.575421304182445,43.36,45.28535980148883,66.60583941605839,14.89,1.36,10.01,12.02,8.92,2020.0,834502021.0,0.0
46,(주)금빛,45890.0,2019/12,-42.94,-22.95,68.35063505170854,179.78,72.27722772277228,93.35038363171356,8.54,0.55,-39.06,-91.61,-38.91,2019.0,458902020.0,0.0
47,(주)금빛,45890.0,2020/12,-1.8,-0.81,53.27769128019262,125.9,76.68067226890757,79.34782608695653,5.15,0.39,-14.61,-32.36,70.57,2020.0,458902021.0,0.0
48,(주)금화피에스시,36190.0,2019/12,212.06,14.57,10.741566692403262,44.77,0.0,40.28697571743929,117.69,0.98,13.79,11.52,7.75,2019.0,361902020.0,0.0
49,(주)금화피에스시,36190.0,2020/12,177.56,11.88,9.941118109697456,52.53,0.0,28.4489477786438,127.4,1.18,12.41,9.32,4.03,2020.0,361902021.0,0.0
50,(주)기가레인,49080.0,2019/12,-65.26,-23.55,75.86356122175197,103.65,146.5863453815261,184.34343434343435,5.1,0.46,-32.14,-93.37,-58.3,2019.0,490802020.0,0.0
51,(주)기가레인,49080.0,2020/12,-26.78,-8.06,49.54701686766138,57.35,101.38888888888889,202.77777777777777,5.76,0.37,-24.89,-63.9,82.12,2020.0,490802021.0,0.0
52,(주)기산텔레콤,35460.0,2019/12,63.48,9.41,21.60095937640534,52.28,42.5904317386231,13.326031398320554,15.22,1.12,8.1,7.27,7.3,2019.0,354602020.0,0.0
53,(주)기산텔레콤,35460.0,2020/12,3.45,0.46,30.23852868412454,45.49,35.74926542605289,54.31547619047619,8.23,0.83,-4.68,-4.92,-4.75,2020.0,354602021.0,0.0
54,(주)까스텔바작,308100.0,2019/12,635.69,16.04,12.754192339810864,28.42,162.22222222222223,22.09443099273608,23.33,1.03,9.03,10.09,22.34,2019.0,3081002020.0,0.0
55,(주)까스텔바작,308100.0,2020/12,320.17,8.75,20.123461722870385,33.23,197.2972972972973,29.506871463217465,34.39,0.77,3.04,3.37,3.43,2020.0,3081002021.0,0.0
56,(주)나노,187790.0,2019/12,31.61,6.41,34.2719403966254,94.17,81.11111111111111,37.82383419689119,18.37,0.91,1.12,1.03,7.89,2019.0,1877902020.0,0.0
57,(주)나노,187790.0,2020/12,0.31,0.07,38.0860325915743,87.04,83.9080459770115,37.282941777323806,14.11,0.78,-10.04,-10.21,-9.91,2020.0,1877902021.0,0.0
58,(주)나노브릭,286750.0,2019/12,18.25,8.98,42.36722059302704,81.12,82.39277652370204,91.47869674185463,59.49,0.37,-3.61,-9.74,828.34,2019.0,2867502020.0,0.0
59,(주)나노브릭,286750.0,2020/12,27.04,11.77,36.12693246541904,69.33,87.95180722891565,84.49074074074073,51.62,0.38,-0.4,-0.65,-0.14,2020.0,2867502021.0,0.0
60,(주)나노신소재,121600.0,2019/12,74.26,13.5,7.863269697475854,30.38,289.6825396825397,77.16701902748413,86.41,0.52,6.22,6.41,5.6,2019.0,1216002020.0,0.0
61,(주)나노신소재,121600.0,2020/12,30.0,7.26,13.423580622162184,41.93,257.0422535211268,73.88663967611336,41.58,0.51,1.84,1.9,-1.59,2020.0,1216002021.0,0.0
62,(주)나노엔텍,39860.0,2019/12,76.33,19.07,10.766491939471862,42.36,83.14350797266515,200.5494505494505,26.66,0.53,13.15,14.77,16.52,2019.0,398602020.0,0.0
63,(주)나노엔텍,39860.0,2020/12,58.52,13.02,11.875649897809172,38.25,87.11217183770883,193.1216931216932,23.16,0.53,5.03,5.58,8.96,2020.0,398602021.0,0.0
64,(주)나무가,190510.0,2019/12,249.95,5.17,68.40128823656708,63.69,6.022108562943409,73.14629258517034,4.89,2.89,3.38,7.29,28.91,2019.0,1905102020.0,0.0
