key,운영,시설,기타
0191202009,3.0,0.0,0.0
1599102015,3.0,0.0,0.0
0325702009,3.0,0.0,0.0
0525602006,3.0,0.0,0.0
0662002008,3.0,0.0,0.0
0283002008,3.0,0.0,0.0
2143102016,3.0,0.0,0.0
0663002009,3.0,0.0,0.0
1481402020,3.0,0.0,0.0
1198302020,3.0,0.0,0.0
0681502014,3.0,0.0,0.0
1060802019,3.0,1.0,1.0
0369202010,3.0,0.0,0.0
0695402017,3.0,1.0,0.0
0523502010,3.0,0.0,0.0
0302702017,3.0,0.0,1.0
0294802004,3.0,0.0,0.0
0170102007,3.0,0.0,0.0
0736402020,3.0,0.0,0.0
0385302016,3.0,0.0,0.0
0531702007,3.0,0.0,0.0
1116102014,3.0,0.0,1.0
0786702009,3.0,0.0,0.0
2197502020,3.0,0.0,0.0
0781602014,3.0,0.0,0.0
0531102006,3.0,0.0,0.0
0336002018,3.0,0.0,3.0
1065202015,3.0,1.0,3.0
0815002008,3.0,0.0,0.0
0385302017,3.0,0.0,0.0
0144202009,3.0,0.0,0.0
0725202020,3.0,1.0,1.0
0403502011,3.0,0.0,0.0
0413202010,3.0,0.0,0.0
0320402015,3.0,0.0,0.0
0478202006,3.0,0.0,0.0
0760902009,3.0,0.0,1.0
2148702019,3.0,0.0,0.0
0695402018,3.0,0.0,1.0
0659102007,3.0,0.0,0.0
0888102011,3.0,0.0,0.0
0538102011,3.0,0.0,0.0
0679502009,3.0,0.0,0.0
0541502008,3.0,0.0,0.0
0799702016,3.0,1.0,0.0
0655602017,3.0,0.0,2.0
1787802017,3.0,0.0,1.0
0187002011,3.0,0.0,1.0
0195902020,3.0,0.0,0.0
0481302008,3.0,0.0,0.0
0151702009,3.0,0.0,1.0
0538102012,3.0,0.0,0.0
0384602004,3.0,0.0,0.0
1065202017,3.0,0.0,3.0
0531102017,3.0,1.0,0.0
0506002008,3.0,0.0,0.0
0262602011,3.0,0.0,2.0
0413102008,3.0,0.0,0.0
0491802014,3.0,0.0,0.0
0432202018,3.0,0.0,0.0
0088002016,3.0,0.0,4.0
0793402008,3.0,0.0,0.0
0441802008,3.0,0.0,1.0
0182902017,3.0,0.0,1.0
0486402010,3.0,0.0,0.0
0365002014,3.0,0.0,0.0
0334302019,3.0,0.0,0.0
0650602010,3.0,0.0,0.0
0176802015,3.0,0.0,0.0
0571002009,3.0,1.0,0.0
0280402017,3.0,0.0,2.0
0106702012,3.0,0.0,1.0
0540202008,3.0,0.0,0.0
0406702014,3.0,0.0,0.0
0373402011,3.0,0.0,0.0
0605502008,3.0,0.0,0.0
0535902019,3.0,0.0,2.0
0328602010,3.0,0.0,0.0
0538902007,3.0,0.0,0.0
0645102019,3.0,0.0,0.0
0363602006,3.0,0.0,0.0
0567302020,3.0,0.0,0.0
0540102008,3.0,0.0,0.0
2263502019,3.0,1.0,1.0
0522102004,3.0,0.0,0.0
0461202013,3.0,0.0,0.0
0435802006,3.0,0.0,1.0
0358902009,3.0,0.0,0.0
0377502003,3.0,0.0,0.0
0416302008,3.0,0.0,0.0
0544402006,3.0,0.0,0.0
0386902009,3.0,0.0,0.0
0385402006,3.0,0.0,0.0
0334302013,3.0,0.0,0.0
0328602009,3.0,0.0,0.0
0367602006,3.0,0.0,0.0
0073902009,3.0,0.0,0.0
0652702015,3.0,0.0,0.0
0585502008,3.0,0.0,0.0
0319602008,3.0,0.0,1.0
0609002008,3.0,0.0,0.0
0375502006,3.0,0.0,1.0
1098202018,3.0,0.0,0.0
0888002017,3.0,0.0,0.0
0334302011,3.0,0.0,0.0
0531702006,3.0,0.0,0.0
기술투자2020,3.0,0.0,0.0
0834702018,3.0,0.0,0.0
0828002018,3.0,1.0,0.0
0640602010,3.0,0.0,0.0
0560102005,3.0,0.0,0.0
0801402008,3.0,0.0,0.0
0262602010,3.0,0.0,0.0
0540202009,3.0,0.0,0.0
0393502009,3.0,0.0,0.0
0640902010,3.0,0.0,0.0
0352902014,3.0,0.0,1.0
0318602016,3.0,0.0,1.0
0719302010,3.0,0.0,0.0
0505402019,3.0,0.0,0.0
0346602009,3.0,0.0,0.0
0716602011,3.0,0.0,0.0
0848102008,3.0,0.0,0.0
0588202010,3.0,0.0,0.0
0611402007,3.0,1.0,0.0
0535902014,3.0,0.0,0.0
0388302006,3.0,0.0,0.0
0528802007,3.0,0.0,0.0
0602802011,3.0,0.0,0.0
0605402008,3.0,0.0,0.0
0805302016,3.0,0.0,0.0
0331902009,3.0,0.0,0.0
1386902015,3.0,0.0,2.0
0431002006,3.0,0.0,0.0
2233102018,3.0,0.0,0.0
1787802018,3.0,0.0,0.0
0403502009,3.0,0.0,0.0
0464002011,3.0,0.0,0.0
0236702005,3.0,0.0,0.0
0836402020,3.0,0.0,0.0
0834702012,3.0,0.0,0.0
0443702008,3.0,0.0,0.0
0443702007,3.0,0.0,0.0
0332802006,3.0,0.0,1.0
2341002018,3.0,0.0,0.0
0687702008,3.0,0.0,0.0
0530702006,3.0,0.0,0.0
0522902016,3.0,0.0,0.0
0436802006,3.0,0.0,0.0
0663402009,3.0,0.0,1.0
0585502006,3.0,0.0,2.0
0283002019,3.0,0.0,0.0
0415902018,3.0,0.0,0.0
0522902009,3.0,1.0,1.0
0527702019,3.0,0.0,0.0
0960402013,3.0,0.0,1.0
0655002011,3.0,0.0,0.0
0966902019,3.0,0.0,4.0
0403502006,3.0,0.0,0.0
0559702006,3.0,0.0,1.0
0725202018,3.0,0.0,1.0
1959902016,3.0,0.0,0.0
0441802011,3.0,0.0,0.0
0650602015,3.0,0.0,0.0
0522902017,3.0,0.0,0.0
0283002018,3.0,0.0,1.0
0362702006,3.0,0.0,0.0
0788602018,3.0,0.0,2.0
9001102020,3.0,0.0,0.0
0713602008,3.0,0.0,0.0
0397902014,3.0,0.0,0.0
1787802019,3.0,0.0,2.0
0671302009,3.0,0.0,0.0
1804002017,3.0,0.0,0.0
0414502008,3.0,0.0,0.0
0656202011,3.0,0.0,0.0
0679502007,3.0,0.0,1.0
0358902006,3.0,0.0,0.0
0387102006,3.0,0.0,0.0
0367902008,3.0,0.0,0.0
0362602006,3.0,0.0,0.0
0543402018,3.0,0.0,1.0
2156002020,3.0,0.0,0.0
0966402018,3.0,0.0,0.0
0826602018,3.0,0.0,0.0
0525602008,3.0,0.0,0.0
0358302006,3.0,0.0,0.0
0535902015,3.0,0.0,0.0
0385302019,3.0,0.0,1.0
0432202011,3.0,0.0,0.0
0741402008,3.0,0.0,0.0
1218002015,3.0,0.0,0.0
0614602012,3.0,0.0,0.0
0373402010,3.0,0.0,0.0
2279502019,3.0,0.0,0.0
0522902010,3.0,0.0,0.0
0540102010,3.0,0.0,0.0
1972102019,3.0,0.0,0.0
0346002007,3.0,0.0,1.0
0481302010,3.0,0.0,0.0
0741502015,3.0,0.0,0.0
0283002011,3.0,0.0,0.0
0656502020,3.0,0.0,0.0
9001002018,3.0,0.0,1.0
0609102009,3.0,0.0,0.0
0170002019,3.0,0.0,0.0
2240602016,3.0,0.0,0.0
1014002017,3.0,0.0,0.0
0366102006,3.0,0.0,0.0
0517802008,3.0,0.0,0.0
0436302011,3.0,0.0,0.0
0415002003,3.0,2.0,1.0
0828002019,3.0,0.0,0.0
0328202020,3.0,0.0,0.0
1311002018,3.0,0.0,0.0
0083402008,3.0,0.0,0.0
0500902015,3.0,0.0,0.0
0789402015,3.0,0.0,0.0
0604102006,3.0,0.0,1.0
0170502003,3.0,1.0,0.0
0349802003,3.0,0.0,0.0
0462402009,3.0,0.0,0.0
0452602010,3.0,0.0,0.0
0195902011,3.0,0.0,0.0
0171602006,3.0,0.0,1.0
0547902006,2.0,0.0,1.0
1116102013,2.0,0.0,0.0
0998302015,2.0,0.0,14.0
0653402005,2.0,0.0,0.0
0361702008,2.0,0.0,0.0
0700802006,2.0,0.0,0.0
0645202011,2.0,0.0,1.0
0318602020,2.0,0.0,0.0
0192602005,2.0,0.0,1.0
0663302006,2.0,0.0,0.0
0384602007,2.0,0.0,0.0
0578802016,2.0,0.0,0.0
0546302018,2.0,0.0,0.0
0354802013,2.0,1.0,1.0
1374002014,2.0,0.0,0.0
0737802007,2.0,0.0,0.0
0383902008,2.0,0.0,0.0
1189902020,2.0,0.0,0.0
1379402017,2.0,0.0,0.0
0170502005,2.0,0.0,0.0
0479402004,2.0,0.0,0.0
1752502019,2.0,0.0,0.0
0606702008,2.0,0.0,0.0
0420402012,2.0,0.0,0.0
0663502012,2.0,0.0,0.0
0415902016,2.0,0.0,1.0
0841802017,2.0,0.0,6.0
0517802019,2.0,0.0,1.0
1427602019,2.0,0.0,1.0
1386902017,2.0,0.0,0.0
0605602017,2.0,0.0,0.0
2573702020,2.0,0.0,0.0
0787802015,2.0,0.0,0.0
0077202006,2.0,0.0,0.0
0313902006,2.0,0.0,0.0
1224502020,2.0,0.0,0.0
0739302012,2.0,0.0,0.0
0609002011,2.0,0.0,2.0
0357102008,2.0,0.0,0.0
1314002016,2.0,0.0,0.0
0856602018,2.0,0.0,0.0
0661102018,2.0,0.0,1.0
0651602013,2.0,0.0,0.0
