회사명,거래소코드,회계년도,자기자본배율,당좌비율,이자보상배율(이자비용),총자본회전률,재고자산회전률,총자본증가율,매출액증가율,부가가치율
(주)DB하이텍,000990,2000/12,583.23,32.25,1.01,0.99,4.9,-3.78,44.94,16.29
(주)DB하이텍,000990,2001/12,591.05,25.72,1.37,0.98,4.98,0.77,-2.38,14.47
(주)DB하이텍,000990,2002/12,603.31,19.53,1.5,0.89,4.62,5.57,-6.29,17.66
(주)DB하이텍,000990,2003/12,648.28,25.92,1.27,0.92,4.78,2.56,7.11,14.67
(주)DB하이텍,000990,2004/12,754.92,26.15,2.94,1.15,5.19,11.09,34.37,13.92
(주)DB하이텍,000990,2005/12,808.48,29.28,1.01,1.1,4.76,15.35,7.85,10.35
(주)DB하이텍,000990,2006/12,812.04,32.91,0.56,0.97,5.09,-4.48,-6.83,11.38
(주)DB하이텍,000990,2007/12,474,29.5,-0.12,0.64,5.73,198.65,27.82,26.58
(주)DB하이텍,000990,2008/12,460.94,28.7,-0.5,0.41,4.36,3.76,-1.79,13.85
(주)DB하이텍,000990,2009/12,332.97,49.91,-0.76,0.4,3.89,-26.58,-14.45,27.42
(주)DB하이텍,000990,2010/12,204.05,182.49,-2.8,0.31,3.38,-43.87,-48.53,39.02
(주)DB하이텍,000990,2011/12,135.92,23.7,-0.62,0.42,6.81,-13.84,-9.96,20.75
(주)DB하이텍,000990,2012/12,123.36,39.77,-0.29,0.5,7.47,-2.95,9.28,23.38
(주)DB하이텍,000990,2013/12,88.65,31.45,-0.16,0.45,6.51,-8.67,-15.44,19.7
(주)DB하이텍,000990,2014/12,61.16,47.09,0.67,0.55,8.02,-4.53,14.98,18.63
(주)DB하이텍,000990,2015/12,124.76,103.5,2.49,0.66,8.73,0.37,17.42,40.94
(주)DB하이텍,000990,2016/12,163.76,105.82,4.39,0.77,9.68,0.07,15.98,29.79
(주)DB하이텍,000990,2017/12,198.4,191.12,6.01,0.69,8.98,-2.86,-12.08,28.38
(주)DB하이텍,000990,2018/12,243.78,215.06,6.76,0.66,11.35,7.48,-1.54,31.71
(주)DB하이텍,000990,2019/12,289.95,168.83,13.43,0.75,17.05,3.68,20.64,34.55
(주)DB하이텍,000990,2020/12,357.32,154.28,36.77,0.83,18.05,8.25,15.92,38.34
(주)LG데이콤,015940,2000/12,564.62,42.04,0.03,0.42,218.79,-10.87,32.89,47.74
(주)LG데이콤,015940,2001/12,557.55,55.75,0.86,0.45,173.39,0.58,-0.18,51.78
(주)LG데이콤,015940,2002/12,468.16,35.89,1.11,0.41,323.52,28.31,6.12,37.45
(주)LG데이콤,015940,2003/12,370.7,27.13,0.42,0.38,389.63,-14.3,-5.29,31.07
(주)LG데이콤,015940,2004/12,315.73,41.98,1.5,0.45,503.37,-8.01,6.63,38.78
(주)LG데이콤,015940,2005/12,305.43,46.62,1.87,0.51,849.96,-5.86,6.09,36.67
(주)LG데이콤,015940,2006/12,316.51,68.04,5.42,0.58,1385.92,-0.03,9.06,38.56
(주)LG데이콤,015940,2007/12,334.42,70.57,7.74,0.65,1225.33,-5.26,9.44,36.9
(주)LG데이콤,015940,2008/12,346.63,90.05,14.07,0.8,526.25,3.14,21.74,28.63
(주)LG파워콤,045820,2001/12,,,,,,,,
(주)LG파워콤,045820,2002/12,106.75,16.99,2.98,0.34,52.31,0,0,64.11
(주)LG파워콤,045820,2003/12,110.46,46.32,4.32,0.37,62.21,-2.75,7.1,68.52
(주)LG파워콤,045820,2004/12,120.08,71.36,6.04,0.41,62.84,-2.62,8.43,78.44
(주)LG파워콤,045820,2005/12,126.03,136.2,3.07,0.43,119.93,14.27,11.76,72.88
(주)LG파워콤,045820,2006/12,118.11,49.7,-2.49,0.56,0,-5.37,34.07,45.34
(주)LG파워콤,045820,2007/12,151.89,45.76,1.76,0.71,651.09,12.16,29.64,51.4
(주)LG파워콤,045820,2008/12,148.74,57.96,2.27,0.71,388.11,16.45,14.79,45.2
(주)MH에탄올,023150,2000/12,586.7,64.97,2.71,0.57,9.77,24.65,-31.73,27.52
(주)MH에탄올,023150,2001/12,624.58,61.72,2.6,0.54,5.5,11.57,11.86,26.56
(주)MH에탄올,023150,2002/12,636.23,118.86,5.5,0.61,5.91,-12.39,11.91,21.47
(주)MH에탄올,023150,2003/12,719.32,83.44,18.2,0.68,8.36,13.04,11.01,29.66
(주)MH에탄올,023150,2004/12,799.91,68.08,15.14,0.69,9.05,10.66,12.24,28.63
(주)MH에탄올,023150,2005/12,770.91,59.21,11.04,0.72,7.82,-3.2,8.25,26.85
(주)MH에탄올,023150,2006/12,780.56,169.38,8.29,0.74,10.23,14.92,8.54,21.36
(주)MH에탄올,023150,2007/12,830.35,90.08,7.52,0.67,10.63,11.13,2.81,25.99
(주)MH에탄올,023150,2008/12,781.46,100.07,3.3,0.58,7.68,37.62,7.55,1.13
(주)MH에탄올,023150,2009/12,1023.17,38.23,2.14,0.44,8.61,28.54,1.5,23.43
(주)MH에탄올,023150,2010/12,965.85,49.92,1.84,0.38,10.29,3.11,-1.19,15.81
(주)MH에탄올,023150,2011/12,1274.22,32.66,1.5,0.34,9.89,18.63,-0.23,24.94
(주)MH에탄올,023150,2012/12,1332.11,26.4,1.64,0.33,9.24,2.41,5.28,20.86
(주)MH에탄올,023150,2013/12,1069.09,29.15,3.44,0.35,8.12,-11.98,1.78,-26.27
(주)MH에탄올,023150,2014/12,1142.28,66.52,5.62,0.47,7.49,-30.42,5.8,17.47
(주)MH에탄올,023150,2015/12,1252.4,88.4,12.7,0.61,9.52,-7.7,2.86,27.72
(주)MH에탄올,023150,2016/12,1376.13,175.61,29.42,0.65,10.7,-8.47,-2.96,28.85
(주)MH에탄올,023150,2017/12,1407.49,81.93,33.29,0.54,8.74,49.17,-1.28,24.74
(주)MH에탄올,023150,2018/12,1489.56,87,8.73,0.43,7.87,2.07,-2.75,27.29
(주)MH에탄올,023150,2019/12,1293.9,70.51,7.59,0.45,6.48,-7.84,0.1,3.41
(주)MH에탄올,023150,2020/12,1253.26,70.26,9.71,0.52,6.28,-3.51,9.12,15.03
(주)SH에너지화학,002360,2000/06,55.23,461.19,0.76,1.56,40.05,0,0,14.69
(주)SH에너지화학,002360,2001/06,168.57,516.53,1.17,0.77,23.22,4.28,-3.06,16.57
(주)SH에너지화학,002360,2002/06,175.95,602.6,2.09,0.78,27.92,0.69,4.14,20.48
(주)SH에너지화학,002360,2003/06,171.89,728.16,2.71,1,29.99,-11.94,20.48,10.47
(주)SH에너지화학,002360,2004/06,150.63,43.97,0.46,1.16,30.28,-6.39,5.64,7.81
(주)SH에너지화학,002360,2005/06,110.48,190.22,1.15,1.57,35.51,-8.89,24.49,2.88
(주)SH에너지화학,002360,2006/12,109.29,105.63,0.43,1.68,23.66,0,0,3.91
(주)SH에너지화학,002360,2007/12,118.29,109.92,2.08,1.72,18.3,10.1,7.02,5.9
(주)SH에너지화학,002360,2008/12,119.67,90.7,0.63,1.56,19.87,17.3,3.29,-3.5
(주)SH에너지화학,002360,2009/12,125.02,107.23,4.5,1.4,24.71,3.04,-1.57,6.54
(주)SH에너지화학,002360,2010/12,113.66,131.71,2.66,1.58,23.97,-9.06,9.87,-0.13
(주)SH에너지화학,002360,2011/12,115.71,111.22,3.09,1.79,20.1,13.26,14.9,5.18
(주)SH에너지화학,002360,2012/12,116.41,120.29,2.26,1.87,15.16,0.11,11.09,3.81
(주)SH에너지화학,002360,2013/12,125.19,131.2,5.95,2.16,17.57,7.31,19.74,5.22
(주)SH에너지화학,002360,2014/12,149.63,203.65,25.43,2.07,17.57,-0.81,-1.22,11.42
(주)SH에너지화학,002360,2015/12,162.79,311.55,85,1.92,16.9,4.54,-5.77,11.78
(주)SH에너지화학,002360,2016/12,184.94,563.52,209.47,1.81,19.3,7.81,0.23,14.11
(주)SH에너지화학,002360,2017/12,189.66,722.3,155.23,1.5,12.58,0.25,-13.86,9.89
(주)SH에너지화학,002360,2018/12,186.7,852.64,30.8,1.48,9.17,-1.92,-2.12,5.39
(주)SH에너지화학,002360,2019/12,174.72,836.92,-18.2,1.14,7.52,0.19,-23.56,2
(주)SH에너지화학,002360,2020/12,161.14,781.6,-36.8,0.77,7.18,-3.76,-33.88,-3.27
(주)SIMPAC,009160,2000/12,74.2,35.69,1.75,0.83,4.05,-2.7,77.4,22.07
(주)SIMPAC,009160,2001/12,226.01,39.29,0.1,0.56,2.61,8.14,-31.3,17.36
(주)SIMPAC,009160,2002/12,226.82,34.4,1.54,0.67,2.88,-4.86,21.28,18.32
(주)SIMPAC,009160,2003/12,254.27,53.24,3.76,0.95,4.64,10.13,45.42,14.75
(주)SIMPAC,009160,2004/12,283.16,64.27,4.95,1,7.42,-4.86,8.05,18.02
(주)SIMPAC,009160,2005/12,345.55,94.49,7.32,1,10.37,20.62,7.38,19.21
(주)SIMPAC,009160,2006/12,403.22,57.9,6.93,1.06,9.12,5.25,19.24,16.41
(주)SIMPAC,009160,2007/12,500.19,152.64,12.98,0.96,9.56,21.66,3.35,22.58
(주)SIMPAC,009160,2008/12,670.12,109.21,7.56,0.9,8.38,31.38,19.08,30.09
(주)SIMPAC,009160,2009/12,756,79.02,10.35,0.72,5.81,6.97,-7.02,21.02
(주)SIMPAC,009160,2010/12,891.27,100.57,14.87,0.85,8.84,39.19,47.36,20.26
(주)SIMPAC,009160,2011/12,1071.57,106.79,22.12,0.79,9.02,20.55,18.43,17.17
(주)SIMPAC,009160,2012/12,1222.84,116.03,15.59,0.74,8.67,3.51,4.67,15.59
(주)SIMPAC,009160,2013/12,1360.85,60.51,16.68,0.62,8.04,13.82,-8.63,16.34
(주)SIMPAC,009160,2014/12,1402.13,74.21,9.26,0.67,7.91,-5.86,11.23,9.74
(주)SIMPAC,009160,2015/12,1513.41,62.41,23.49,0.61,5.28,12.15,-6.3,16.37
(주)SIMPAC,009160,2016/12,1574.42,73.9,20.91,0.59,4.78,-0.84,1.26,15.09
(주)SIMPAC,009160,2017/12,1538.82,79.26,15.27,0.57,5.36,-6.35,-5.88,11.12
(주)SIMPAC,009160,2018/12,1256.68,81.43,3.25,0.55,3.89,83.19,32.35,29.54
(주)SIMPAC,009160,2019/12,1281.43,86.65,2.86,0.63,4.51,-3.13,45.79,8.59
(주)SIMPAC,009160,2020/12,1327.27,77.57,2.86,0.43,3.21,7.87,-30.58,19.41
(주)SNT에너지,100840,2008/12,,,,,,,,
(주)SNT에너지,100840,2009/12,4862.94,162.05,22.76,0.62,32.66,0,0,29.02
(주)SNT에너지,100840,2010/12,4705.97,180.42,41.47,0.78,38.75,-14.81,16.99,5.45
(주)SNT에너지,100840,2011/12,4533.65,135.46,-9.37,0.74,18.73,9.5,-8.66,1.83
(주)SNT에너지,100840,2012/12,5174.77,162.88,77.44,0.81,14.06,5.89,18.12,8.72
(주)SNT에너지,100840,2013/12,5594.23,177.76,50.81,0.66,11.41,6.45,-12.98,15.02
(주)SNT에너지,100840,2014/12,5863.77,199.37,41.09,0.79,13.66,-2.3,20.92,10.76
(주)SNT에너지,100840,2015/12,6532.47,269.65,359.1,0.84,18.29,3.84,7.15,18.49
(주)SNT에너지,100840,2016/12,6487.29,200.61,999999999,0.77,29.08,10.07,-2.31,6.3
(주)SNT에너지,100840,2017/12,6600.71,347.24,999999999,0.57,40.44,-13.73,-27.55,10.06
(주)SNT에너지,100840,2018/12,6338.82,474.82,999999999,0.48,34.81,-6.42,-24.21,9.25
(주)SNT에너지,100840,2019/12,6542.01,294.91,2833.92,0.66,25.65,17.94,45.38,14.69
(주)SNT에너지,100840,2020/12,6302.6,249.39,6454.27,0.69,28.6,0.2,13.4,10.21
(주)SNT홀딩스,036530,2000/12,981.33,296.99,999999999,1.86,78.02,139.03,101.68,39.23
(주)SNT홀딩스,036530,2001/12,1582.94,269.38,999999999,1.42,20.3,60.26,40.3,43.81
(주)SNT홀딩스,036530,2002/12,2077.85,342.29,999999999,0.86,10.91,27.5,-15.77,42.84
(주)SNT홀딩스,036530,2003/12,2505.54,180.28,27.17,0.43,6.55,22.2,-37.72,58.72
(주)SNT홀딩스,036530,2004/12,2793.24,119.28,999999999,0.46,4.97,13.98,26.29,46.83
(주)SNT홀딩스,036530,2005/12,3470.81,146.34,999999999,0.53,4.57,20.55,34.54,36.89
(주)SNT홀딩스,036530,2006/12,3952.19,145.45,999999999,0.63,5.65,13.59,38.96,28.89
(주)SNT홀딩스,036530,2007/12,3973.22,101.95,999999999,0.62,5.33,46.27,30.53,23.41
(주)SNT홀딩스,036530,2008/12,4821.78,4249.23,999999999,0.09,1.76,35.25,-78.98,54.8
(주)SNT홀딩스,036530,2009/12,4721.51,1057.37,999999999,0.08,0,-1.6,-4.04,70.83
(주)SNT홀딩스,036530,2010/12,5124.74,5871.61,999999999,0.08,0,7.23,10.09,94.44
(주)SNT홀딩스,036530,2011/12,5062.04,32384.36,999999999,0.01,0,-9.14,-93.54,-129.67
(주)SNT홀딩스,036530,2012/12,5072.13,24567.44,999999999,0.02,0,0.22,286.13,115.15
(주)SNT홀딩스,036530,2013/12,5179.67,16077.67,999999999,0.02,0,2.15,1.24,100.34
(주)SNT홀딩스,036530,2014/12,5205.93,19138.35,999999999,0.02,0,0.48,-12.74,97.68
(주)SNT홀딩스,036530,2015/12,5350.96,1155.4,999999999,0.02,0,7.85,10.04,433.19
(주)SNT홀딩스,036530,2016/12,5257.92,30571.25,999999999,0.02,0,-0.83,15.85,67.77
(주)SNT홀딩스,036530,2017/12,5238.86,32821.91,999999999,0.02,0,-0.37,-24.45,60.01
(주)SNT홀딩스,036530,2018/12,5059.58,38653.84,999999999,0.02,0,-0.62,-1.7,94.67
(주)SNT홀딩스,036530,2019/12,4992.13,13604.82,999999999,0.03,0,-1.33,51.07,96.61
(주)SNT홀딩스,036530,2020/12,5072.88,8808.28,65079.46,0.06,0,1.63,129.76,97.99
(주)STX,011810,2000/12,111.63,63.5,1.36,0.6,2.68,0.89,-5.67,28.72
(주)STX,011810,2001/12,116.99,46.76,0.95,0.66,3.5,10.14,16.56,20.32
(주)STX,011810,2002/12,153.64,48.51,0.87,0.72,6.02,16.22,23.85,24.66
(주)STX,011810,2003/12,158.75,53.76,0.89,0.81,7.33,3.8,24.07,13.22
(주)STX,011810,2004/12,227.01,64.03,1.3,0.72,7.81,-43.41,-29.16,11.25
(주)STX,011810,2005/12,272.75,66.2,2.41,1.53,32.47,60.17,99.26,6.96
(주)STX,011810,2006/12,310.81,67.26,3.02,1.53,27.84,33.24,43.22,9.35
(주)STX,011810,2007/12,480.55,102.71,6.65,1.26,37.89,83.16,33.06,14.78
(주)STX,011810,2008/12,932.03,78.53,1.57,1.39,18.62,69.4,92.71,4.52
(주)STX,011810,2009/12,675.82,48.71,-1.18,0.95,9.99,15.44,-7.99,-4.75
(주)STX,011810,2010/12,713.48,67.57,0.9,1.2,15.97,14.46,45.68,6.11
(주)STX,011810,2011/12,776.43,47.99,0.67,1.35,18.99,14.32,28.71,5.52
(주)STX,011810,2012/12,743.43,41.09,0.19,1.26,23.59,-2.28,-1.36,2.21
(주)STX,011810,2013/12,0,55.29,-0.8,0.88,24.25,-66.33,-53.97,-80.16
(주)STX,011810,2014/12,73.43,86.28,0.53,1.2,13.16,-1.48,-31.86,30.22
(주)STX,011810,2015/12,96.62,76.64,-0.42,1.28,9.33,-1.2,5.48,-0.55
(주)STX,011810,2016/12,0,32.98,-2.95,1.74,10.35,-40.65,7.59,-27.89
(주)STX,011810,2017/12,93.47,54.31,1.56,2.78,13.13,-17.09,8.87,22.98
(주)STX,011810,2018/12,126.15,57.67,-0.58,2.75,13.82,-14.15,-16.65,2.12
(주)STX,011810,2019/12,102.63,53.77,-1.05,2.72,13.85,3.58,-6.92,-1.22
(주)STX,011810,2020/12,52.43,36.08,-0.72,1.91,11.91,-21.58,-36.31,0.58
(주)TCC스틸,002710,2000/12,799.52,72.9,1.65,0.96,9.89,5.58,8.14,14.77
(주)TCC스틸,002710,2001/12,855.11,75.95,2.25,0.91,8.83,-1.32,-3.76,18.32
(주)TCC스틸,002710,2002/12,862.85,78.26,1.57,0.98,10.63,-2.99,5.58,15.45
(주)TCC스틸,002710,2003/12,939.35,73.19,2.98,1.05,9.29,6.85,9.49,17.89
(주)TCC스틸,002710,2004/12,1030.03,69.48,2.68,1.14,8,11.96,19.31,12.69
(주)TCC스틸,002710,2005/12,1095.3,64.56,2.69,1.08,6.12,7.48,3.33,9.05
(주)TCC스틸,002710,2006/12,1085.98,69.83,-0.22,0.98,5.55,-0.3,-5.73,8.47
(주)TCC스틸,002710,2007/12,1067.68,58.92,1.46,1,5.99,8.58,5.58,6
(주)TCC스틸,002710,2008/12,1030.12,55.7,7.2,1.44,7.48,2.67,52.19,4.72
(주)TCC스틸,002710,2009/12,1053.59,85.25,3.98,1.23,6.98,-6.63,-16.05,9.33
(주)TCC스틸,002710,2010/12,1059.81,73.15,3.66,1.43,8.12,14.28,20.43,7.5
(주)TCC스틸,002710,2011/12,1285.11,60.39,1.83,1.28,6.58,33.09,10.88,5.8
(주)TCC스틸,002710,2012/12,1233.86,80.18,1.44,1.04,5.78,7.58,-3.58,5.54
(주)TCC스틸,002710,2013/12,1167.15,88.67,1.01,0.95,6.05,1.27,-4.79,4.54
(주)TCC스틸,002710,2014/12,1105.76,43.3,1.31,0.89,6.59,3.85,-4.33,4.94
(주)TCC스틸,002710,2015/12,342.65,128.99,2.11,0.88,6.68,-28.32,-12.77,-38.15
(주)TCC스틸,002710,2016/12,414.56,67.23,2.36,1.09,7,-24.13,-9.38,10.84
(주)TCC스틸,002710,2017/12,401.15,36.23,1.41,1.34,7.18,-0.79,5.21,3.84
(주)TCC스틸,002710,2018/12,440.2,80.87,3.46,1.36,6.37,7.73,5.26,6.78
(주)TCC스틸,002710,2019/12,436.39,35.63,2.34,1.26,5.23,0.79,-3.41,6.3
(주)TCC스틸,002710,2020/12,427.17,50.65,0.41,1.22,5.5,-3.35,-4.69,3.82
(주)갑을,009840,2000/12,-2564,33.66,0,0.74,5.32,-20.5,-23.43,5.92
(주)갑을,009840,2001/12,108.35,51.82,0.16,0.8,9.67,102.75,45.14,-49.51
(주)갑을,009840,2002/12,0,25.35,-0.38,0.43,6.03,-35.07,-40.92,-66.72
(주)강원랜드,035250,2000/12,,,,,,,,
(주)강원랜드,035250,2001/12,461.26,217.12,334.55,0.66,848.12,0,0,83.73
(주)강원랜드,035250,2002/12,638,201.33,627.87,0.63,910.73,18.44,3.04,74.83
(주)강원랜드,035250,2003/12,858.4,192.82,999999999,0.71,1062.88,30.98,42.24,63.86
(주)강원랜드,035250,2004/12,997.77,251.3,999999999,0.64,908.04,22.23,12.85,55.99
(주)강원랜드,035250,2005/12,1177.74,290.72,999999999,0.6,1402.92,15.71,10.84,53.4
(주)강원랜드,035250,2006/12,1293.04,224.95,999999999,0.54,2781.35,12.23,2.66,45.46
(주)강원랜드,035250,2007/12,1467.16,140.06,999999999,0.57,2766,18.12,22.66,44.35
(주)강원랜드,035250,2008/12,1525.07,152.49,132088.08,0.56,1166.01,2.68,7.76,45.46
(주)강원랜드,035250,2009/12,1766.58,218.28,32608.62,0.54,724.81,14.94,4.99,49.46
(주)강원랜드,035250,2010/12,1964.22,223.63,999999999,0.53,696.07,9.35,8.87,48.75
(주)강원랜드,035250,2011/12,2129.75,253.53,1173.14,0.47,599.11,4.62,-3.81,47.15
(주)강원랜드,035250,2012/12,2227.87,215.99,643.6,0.46,750.25,6.78,2.31,37.09
(주)강원랜드,035250,2013/12,2359.5,181.5,1460.36,0.45,1007.39,6.52,4.95,35.82
(주)강원랜드,035250,2014/12,2539.19,217.55,2126.84,0.46,1106.13,8.86,9.98,39.08
(주)강원랜드,035250,2015/12,2802.13,261.69,2661.2,0.46,1154.03,9.1,9.29,40.88
(주)강원랜드,035250,2016/12,3040.79,250.58,2743.01,0.44,1156.25,7.81,3.9,40.71
(주)강원랜드,035250,2017/12,3272.68,316.56,2717.07,0.39,1228.69,5.19,-5.41,41.36
(주)강원랜드,035250,2018/12,3352.76,275.26,2008.39,0.34,1175.54,1.13,-10.41,34.7
(주)강원랜드,035250,2019/12,3476.14,286.66,276.34,0.35,635.66,4.89,5.68,37.95
(주)강원랜드,035250,2020/12,3033.31,451.62,-240.84,0.12,165,-18.04,-68.54,-57.35
(주)갤럭시아에스엠,011420,2000/12,165.51,49.17,1.2,1.29,3.1,11.02,43.3,16.28
(주)갤럭시아에스엠,011420,2001/12,174,39.12,1.19,1.05,2.41,-12.25,-19.05,18.49
(주)갤럭시아에스엠,011420,2002/12,134.34,30.44,-0.82,1.04,2.08,11.17,-2.36,8.19
(주)갤럭시아에스엠,011420,2003/12,110.22,31.51,0.27,1.03,2.09,-4.34,1.85,7
(주)갤럭시아에스엠,011420,2004/12,83.47,59.56,-5.46,0.6,1.35,-32.98,-52.6,15.28
(주)갤럭시아에스엠,011420,2005/12,50.94,43.75,-1.7,0.88,2.13,-17.91,7.84,-8.23
(주)갤럭시아에스엠,011420,2006/12,0,25.37,0.13,0.75,5.3,177.03,44,62.58
(주)갤럭시아에스엠,011420,2007/12,156.99,38.98,2.01,0.58,20.33,-27.48,-1.5,66.35
(주)갤럭시아에스엠,011420,2008/12,201.03,119.92,4.1,0.89,0,-17.15,17.95,39.76
(주)갤럭시아에스엠,011420,2009/12,233.24,135.05,1.94,0.94,0,-15.8,-12.06,47.16
(주)갤럭시아에스엠,011420,2010/12,222.5,123.37,4.45,1.05,0,-24.77,-10.82,21.71
(주)갤럭시아에스엠,011420,2011/12,250.12,144.34,3.37,0.84,0,16.21,-25.23,41.98
(주)갤럭시아에스엠,011420,2012/12,256.37,174.23,3.15,0.92,0,-1.33,17.12,21.38
(주)갤럭시아에스엠,011420,2013/12,229.05,165.21,2.26,0.83,0,-14.96,-17.37,7.09
(주)갤럭시아에스엠,011420,2014/12,238.53,146.25,-1.41,0.88,163.36,18.65,6.87,4.55
(주)갤럭시아에스엠,011420,2015/12,367.81,270.56,9.86,1,266.03,65.8,62.85,12.9
(주)갤럭시아에스엠,011420,2016/12,325.57,340.35,-18.56,0.74,0,-16.92,-15.1,3.99
(주)갤럭시아에스엠,011420,2017/12,293.97,324.23,-33.36,0.7,0,-12.3,-19.16,-9.02
(주)갤럭시아에스엠,011420,2018/12,194.54,222.68,-102.12,0.54,0,-31.91,-40.33,-60.56
(주)갤럭시아에스엠,011420,2019/12,158.25,216.18,-15.22,0.93,0,-15.29,30.42,6.34
(주)갤럭시아에스엠,011420,2020/12,150.42,221.64,18.6,0.69,0,1.11,-32,20.3
(주)건영,012720,2000/12,-14.52,231.2,-0.94,0.26,0.65,-20.46,0.95,-58.82
(주)건영,012720,2001/12,181.5,144.59,-0.76,0.29,0.62,-8.17,-8,57.54
(주)건영,012720,2002/12,122.34,132.74,0.1,0.3,0.64,-15.15,-7.25,18.95
(주)경농,002100,2000/12,827.64,45.36,1.4,0.71,2.77,-4.43,-5.85,27.56
(주)경농,002100,2001/12,836.89,55.16,1.74,0.72,2.45,5.58,2.05,28.98
(주)경농,002100,2002/12,860,49.35,2.15,0.68,2.25,0.49,-2.73,27.51
(주)경농,002100,2003/12,818.16,46.27,1.27,0.67,2.11,-4.91,-3.82,18.49
(주)경농,002100,2004/12,861.81,92.42,2.55,0.74,2.32,-3.36,5.84,20.87
(주)경농,002100,2005/12,937.25,136.26,5.81,0.76,2.4,9.27,5.21,24.77
(주)경농,002100,2006/12,1019.86,68.01,8.33,0.73,2.33,6.33,3.1,28.89
(주)경농,002100,2007/12,1134.96,172.84,9.52,0.74,2.43,2.54,5.61,31.23
(주)경농,002100,2008/12,1271.21,109.17,9.03,0.74,2.52,13.14,9.16,25.11
(주)경농,002100,2009/12,1348.31,73.47,7.04,0.75,2.09,-1.65,6.41,29.09
(주)경농,002100,2010/12,1403.31,100.42,6.99,0.72,1.84,1.38,-4.53,22.68
(주)경농,002100,2011/12,1346.29,64.12,4.5,0.64,1.71,-11.79,-15.6,21.4
(주)경농,002100,2012/12,1396.85,42.58,8.89,0.69,1.88,15.12,8.53,23.56
(주)경농,002100,2013/12,1500.08,49.84,9.47,0.67,1.99,5.66,6.27,28.72
(주)경농,002100,2014/12,1558.19,47.62,9.33,0.6,1.92,7.39,-3.18,26.56
(주)경농,002100,2015/12,1595.6,35.24,6.21,0.55,1.78,14.83,2.08,24.7
(주)경농,002100,2016/12,1629.4,31.68,5.39,0.54,1.65,0.57,4.07,20.8
(주)경농,002100,2017/12,1686.9,29.15,5.54,0.53,1.58,0.88,-0.02,26.24
(주)경농,002100,2018/12,1724.77,37.71,9.8,0.53,1.6,5.97,2.12,26.65
(주)경농,002100,2019/12,1760.05,46.05,5.02,0.52,1.57,4.27,3.51,23.63
(주)경농,002100,2020/12,1818.81,44.52,7.98,0.56,1.59,0.64,9.46,24.34
(주)경동나비엔,009450,2000/12,617.32,127.49,9.76,1.24,14.26,6.08,27.66,17.11
(주)경동나비엔,009450,2001/12,703.17,152.99,17.9,1.33,12.31,-2,9.33,20.3
(주)경동나비엔,009450,2002/12,831.77,166.49,9179.82,1.41,12.68,15.17,12.39,22.85
(주)경동나비엔,009450,2003/12,915.93,186.78,6700.7,1.23,11.97,1.9,-5.78,18.45
(주)경동나비엔,009450,2004/12,940.53,175.15,178.44,1.1,9.55,2.29,-8.96,12.06
(주)경동나비엔,009450,2005/12,992.32,175.04,87.65,1.05,8.05,3.38,-1.23,10.41
(주)경동나비엔,009450,2006/12,1032.97,154.11,81.48,1.07,8.67,5.76,6.51,13.05
(주)경동나비엔,009450,2007/12,1109.12,158.29,10.66,0.99,8,3.2,-3.2,15.01
(주)경동나비엔,009450,2008/12,1222.32,124.37,12.85,1.1,7.12,6.47,16.21,14.42
(주)경동나비엔,009450,2009/12,1215.46,124.42,225.66,1.19,7.42,4.39,13.88,11.24
(주)경동나비엔,009450,2010/12,1194.75,111.99,199.74,1.33,8.93,8.62,19.27,11.53
(주)경동나비엔,009450,2011/12,1124.6,91.46,27.72,1.44,8.48,3.06,14.37,11.95
(주)경동나비엔,009450,2012/12,1194.72,101.7,28.05,1.43,9.04,13.48,7.25,12.21
(주)경동나비엔,009450,2013/12,1267.67,50.87,32.7,1.34,10.42,18.4,8.87,11.32
(주)경동나비엔,009450,2014/12,1318.61,59.47,9.27,1.21,9.76,9.82,2.9,10.84
(주)경동나비엔,009450,2015/12,1453.81,66.32,9.88,1.37,11.18,-1.88,17.24,13.26
(주)경동나비엔,009450,2016/12,1649.93,77.56,54.24,1.51,12.59,7.02,12.89,14.74
(주)경동나비엔,009450,2017/12,1742.83,74.43,54.55,1.54,11.61,12.59,12.59,11.74
(주)경동나비엔,009450,2018/12,1886.7,70.34,18.09,1.49,9.37,12.55,8.47,12.87
(주)경동나비엔,009450,2019/12,1998.19,80.43,21.23,1.45,9.28,4.79,6.04,14.36
(주)경동나비엔,009450,2020/12,2068.77,80.56,28.12,1.5,9.18,16.01,13.87,13.86
(주)경동도시가스,267290,2017/12,,,,,,,,
(주)경동도시가스,267290,2018/12,2703.04,117.31,99.67,2.07,1235.48,0,0,6.13
(주)경동도시가스,267290,2019/12,2291.29,121.93,28.89,1.87,1080.02,-3.66,-11.45,6.15
(주)경동도시가스,267290,2020/12,2407.76,124.79,18.07,1.5,843.12,-6.73,-23.62,7.41
(주)경동인베스트,012320,2000/12,735.35,87.57,8.93,1.09,80.03,18,51.43,18.15
(주)경동인베스트,012320,2001/12,775.66,91.65,7.52,1.3,75.89,2.99,30.19,15.16
(주)경동인베스트,012320,2002/12,847.29,104.16,25.37,1.3,71.22,7.59,5.81,15.94
(주)경동인베스트,012320,2003/12,919.07,97.42,25.59,1.39,80.89,6.26,13.72,15.05
(주)경동인베스트,012320,2004/12,994.41,97.09,14.08,1.32,73.75,7.9,1.99,15.04
