회사명,거래소코드,회계년도,소속코드,상장폐지일,감사의견코드,자기자본증가율,경영자본순이익률,총자본순이익률,자기자본순이익률,순운전자본비율,비유동장기적합률,경영자본회전률,매입채무회전률,총자본투자효율,설비투자효율,재고자산회전률,매출채권회전률,자산총계(요약)(백만원),부채총계(요약)(백만원)
(주)DB하이텍,000990,2000/12,1,,UQ,0.5,1.92,1.67,4.76,-7.06,111.81,1.13,8.71,16.4,30.55,4.9,11.5,805757,516209
(주)DB하이텍,000990,2001/12,1,,UQ,1.34,0.79,0.69,1.92,-10.01,116.47,1.12,8.02,14.12,26.73,4.98,13.34,811974,518549
(주)DB하이텍,000990,2002/12,1,,UQ,2.07,2.34,1.95,5.5,-16.71,130.31,1.06,7.61,15.29,29.53,4.62,16.53,857183,557670
(주)DB하이텍,000990,2003/12,1,,,7.45,1.8,1.5,4.2,-16.67,132.11,1.1,8.1,13.26,26.41,4.78,18.43,879135,557295
(주)DB하이텍,000990,2004/12,1,,UQ,16.45,5.18,4.41,11.76,-13.11,127.18,1.35,8.49,15.22,33.46,5.19,20.72,976639,601859
(주)DB하이텍,000990,2005/12,1,,UQ,7.09,1.29,1.07,2.89,-16.45,135.18,1.32,9.01,10.59,26.06,4.76,13.71,1126572,725202
(주)DB하이텍,000990,2006/12,1,,UQ,0.44,0.24,0.19,0.52,-9.25,115.19,1.23,12.22,11.36,24.29,5.09,10.23,1076069,672928
(주)DB하이텍,000990,2007/12,1,,UQ,119.52,-0.87,-0.79,-2.63,-11.31,115.95,0.71,13.12,11.35,17.15,5.73,9.73,3213716,2328755
(주)DB하이텍,000990,2008/12,1,,UQ,-2.75,-9.32,-8.6,-32.26,-14.74,122.39,0.45,9.59,5.6,8.6,4.36,8.07,3334536,2473948
(주)DB하이텍,000990,2009/12,1,,UQ,-26.7,-6.62,-6.1,-23.66,0.34,99.57,0.43,7.81,12.91,18.37,3.89,7.61,2448082,1817278
(주)DB하이텍,000990,2010/12,1,,UQ,-31.32,-3.77,-3.46,-12.42,13.01,85.75,0.34,6.64,16.85,27.7,3.38,4.85,1374102,940893
(주)DB하이텍,000990,2011/12,1,,UQ,-32.66,-8.26,-7.28,-25.68,-44.83,237.1,0.47,19.91,9.37,15.16,6.81,6.56,1183957,892248
(주)DB하이텍,000990,2012/12,1,,UQ,-5.88,-3.03,-2.75,-11.35,-22.63,144.4,0.55,25.12,11.88,20.59,7.47,8.12,1149069,874516
(주)DB하이텍,000990,2013/12,1,,UQ,-28.14,-7.51,-6.66,-31.05,-24.24,144.41,0.51,18.66,9.27,16.19,6.51,7.41,1049495,852207
(주)DB하이텍,000990,2014/12,1,,UQ,-31.01,-6.58,-5.69,-34.99,-12.96,120.75,0.64,17.37,10.55,19.19,8.02,8.07,1001960,865856
(주)DB하이텍,000990,2015/12,1,,UQ,104.01,14.69,12.7,61.61,9.14,87.96,0.77,17.02,27.13,55.75,8.73,7.7,1005674,728011
(주)DB하이텍,000990,2016/12,1,,UQ,31.26,9.99,8.75,27.41,9.16,87.45,0.88,18.38,22.88,45.62,9.68,7.66,1006371,641920
(주)DB하이텍,000990,2017/12,1,,UQ,21.15,8.2,7.5,18.46,21.01,75.38,0.75,18.53,19.73,37.02,8.98,6.94,977575,536028
(주)DB하이텍,000990,2018/12,1,,UQ,22.88,10.22,9.38,19.32,21.25,75.02,0.72,19.69,20.2,41.97,11.35,7.25,1050696,508139
(주)DB하이텍,000990,2019/12,1,,UQ,18.94,12.36,11.32,20.4,18.63,76.67,0.82,24.22,25.61,49.51,17.05,8.04,1089401,444096
(주)DB하이텍,000990,2020/12,1,,UQ,23.23,15.87,14.6,23,16.44,78.87,0.9,27.89,30.43,62.01,18.05,9.16,1179257,384020
(주)LG데이콤,015940,2000/12,4,2010/01/15,UQ,-50.58,-5.22,-3.9,-9.03,-24.07,141.59,0.57,7.2,21.39,34.82,218.79,13.56,2229744,1553805
(주)LG데이콤,015940,2001/12,4,2010/01/15,UQ,-1.25,-3.57,-3.08,-10.24,-17.11,128.09,0.52,7.93,23.02,38.58,173.39,9.88,2242613,1575139
(주)LG데이콤,015940,2002/12,4,2010/01/15,UQ,29.91,1.26,0.93,3.11,-27.3,147.66,0.56,10.34,13.77,30.63,323.52,8.81,2877545,2010451
(주)LG데이콤,015940,2003/12,4,2010/01/15,UQ,-20.81,-14.83,-9.18,-31.58,-27.12,143.29,0.61,8.26,12.63,27.15,389.63,10.18,2465988,1779379
(주)LG데이콤,015940,2004/12,4,2010/01/15,UQ,15.94,2.82,1.64,5.23,-22.07,135.69,0.78,7.98,18.27,48.24,503.37,16.39,2268423,1472354
(주)LG데이콤,015940,2005/12,4,2010/01/15,UQ,22.9,5.22,2.93,7.28,-18.43,128.2,0.92,7.59,19.47,53.58,849.96,9.16,2135585,1157240
(주)LG데이콤,015940,2006/12,4,2010/01/15,UQ,31.37,13.03,7.58,14.29,-8.28,111.2,1,8.85,22.33,57.55,1385.92,6.29,2134838,849605
(주)LG데이콤,015940,2007/12,4,2010/01/15,UQ,8.36,10.73,6.42,9.97,-6.97,109.16,1.09,10.61,24.68,64.09,1225.33,6.22,2022646,629991
(주)LG데이콤,015940,2008/12,4,2010/01/15,UQ,3.65,9.7,5.86,8.48,-1.92,102.44,1.33,11.49,22.61,58.19,526.25,6.74,2086151,642675
(주)LG파워콤,045820,2001/12,4,2010/01/15,,,,,,,,,,,,,,1391432,595539
(주)LG파워콤,045820,2002/12,4,2010/01/15,,0,1.74,1.62,2.92,-23.48,133.11,0.37,9.56,21.77,26.95,52.31,7.26,1448341,647722
(주)LG파워콤,045820,2003/12,4,2010/01/15,,3.48,2.24,2.14,3.76,-13.44,118.17,0.39,8.76,25.63,33.39,62.21,8.31,1408536,580056
(주)LG파워콤,045820,2004/12,4,2010/01/15,,8.7,5.38,5.3,8.53,-3.95,104.73,0.42,9.28,32.67,42.77,62.84,10.25,1371563,470965
(주)LG파워콤,045820,2005/12,4,2010/01/15,,4.95,3.19,3.14,4.99,5.97,92.86,0.44,11.52,29.69,43.75,119.93,8.65,1567329,622112
(주)LG파워콤,045820,2006/12,4,2010/01/15,,-6.29,-3.87,-3.8,-6.33,-11.15,114.32,0.57,13.71,26.16,34.49,0,8.06,1483117,597325
(주)LG파워콤,045820,2007/12,4,2010/01/15,,2.89,1.65,1.62,2.84,-15.84,122.5,0.72,15.31,34.29,46.83,651.09,9.83,1663439,752070
(주)LG파워콤,045820,2008/12,4,2010/01/15,,8.86,0.34,0.33,0.63,-13.83,120.72,0.72,16.46,29.72,42.36,388.11,11.02,1937074,944983
(주)MH에탄올,023150,2000/12,1,,,18.51,2.14,1.97,3.09,-2.89,104.15,0.62,0,14.11,27.54,9.77,15.18,41556,15697
(주)MH에탄올,023150,2001/12,1,,,6.46,1.87,1.67,2.75,0.75,98.95,0.61,129.32,13.65,31.08,5.5,13.97,46365,18837
(주)MH에탄올,023150,2002/12,1,,,1.86,2.84,2.43,3.8,12.82,83.73,0.72,107.88,14.1,35.93,5.91,11.85,40622,12580
(주)MH에탄올,023150,2003/12,1,,,13.06,10.12,8,11.58,3.51,95.32,0.87,470.47,19.12,55.39,8.36,7.71,45919,14214
(주)MH에탄올,023150,2004/12,1,,,11.2,14.36,10.25,14.8,-1.44,102.01,0.96,0,18.72,56.07,9.05,7.59,50812,15556
(주)MH에탄올,023150,2005/12,1,,,-3.62,9.99,7.47,10.79,-0.67,100.94,0.96,0,19.64,50.56,7.82,11.85,49188,15210
(주)MH에탄올,023150,2006/12,1,,,1.25,4.56,3.53,5.45,11.83,86.68,0.96,0,14.75,38.28,10.23,10.46,56529,22126
(주)MH에탄올,023150,2007/12,1,,,6.38,7.81,5.81,9.77,6.32,92.01,0.9,0,16.61,45.52,10.63,6.3,62818,26221
(주)MH에탄올,023150,2008/12,1,,UQ,-5.89,-10.92,-8.66,-18.2,6.93,87.9,0.73,0,0.56,2.23,7.68,8.84,86452,52009
(주)MH에탄올,023150,2009/12,1,,UQ,30.93,1.87,1.33,3.31,-30.3,167.61,0.62,0,9.24,26.53,8.61,11.9,111124,66028
(주)MH에탄올,023150,2010/12,1,,UQ,-5.6,-1.66,-1.07,-2.76,-24.26,154.82,0.6,323.41,5.97,18.61,10.29,6.79,114576,72006
(주)MH에탄올,023150,2011/12,1,,UQ,31.93,4.74,2.68,6.79,-29.6,157.93,0.61,322.68,7.93,30.64,9.89,5.32,135927,79766
(주)MH에탄올,023150,2012/12,1,,UQ,4.54,4.02,1.87,4.48,-31.83,161.7,0.71,0,6.82,27.57,9.24,4.82,139201,80488
(주)MH에탄올,023150,2013/12,1,,UQ,-19.75,-18.03,-8.89,-21.97,-34.26,176.77,0.72,0,-9.93,-35.71,8.12,4.46,122521,75401
(주)MH에탄올,023150,2014/12,1,,UQ,11.43,6.62,4.45,9.27,-4.22,106.71,0.7,0,10.04,24.04,7.49,4.66,85254,32746
(주)MH에탄올,023150,2015/12,1,,UQ,9.64,11.29,9.45,14.07,1.55,97.9,0.73,0,17.75,38.18,9.52,4.7,78691,21122
(주)MH에탄올,023150,2016/12,1,,UQ,9.88,12.98,10.79,13.47,15.71,82.43,0.78,0,19.59,38.14,10.7,4.65,72025,8768
(주)MH에탄올,023150,2017/12,1,,UQ,2.28,9.64,6.58,9.23,2.51,97.07,0.79,0,11.12,30.55,8.74,4.7,107437,42738
(주)MH에탄올,023150,2018/12,1,,UQ,5.83,10.44,6.04,9.84,4.24,95.16,0.75,0,11.68,31.61,7.87,4.5,109657,41185
(주)MH에탄올,023150,2019/12,1,,UQ,-13.14,-7.86,-4.75,-7.82,3.84,95.53,0.74,0,1.59,3.91,6.48,4.85,101059,41581
(주)MH에탄올,023150,2020/12,1,,UQ,-3.14,1.78,1.16,1.98,3.16,96.15,0.79,0,7.9,18.78,6.28,5.56,97516,39906
(주)SH에너지화학,002360,2000/06,1,,UQ,0,-5.02,-4.8,-48.07,30.82,66.69,1.63,224.91,11.48,20.36,40.05,5.32,99599,89656
(주)SH에너지화학,002360,2001/06,1,,QS,101.44,3.75,3.56,19.19,32.8,64.64,0.81,129.5,12.49,23.28,23.22,2.59,103620,78442
(주)SH에너지화학,002360,2002/06,1,,QS,30.79,5.57,5.2,18.61,30.54,67.68,0.84,168.71,15.97,30.21,27.92,2.96,104337,71406
(주)SH에너지화학,002360,2003/06,1,,UQ,-2.31,-1.07,-0.94,-2.84,27.88,71.01,1.14,222.89,11.17,24.09,29.99,4.87,91879,59707
(주)SH에너지화학,002360,2004/06,1,,UQ,-12.37,-4.38,-3.66,-10.79,-31.5,185.2,1.39,165.72,9.4,19.71,30.28,5.71,86011,57818
(주)SH에너지화학,002360,2005/06,1,,QS,78.88,-3.71,-3.21,-6.7,18.79,77.84,1.82,138.85,4.74,9.4,35.51,6.65,78365,27934
(주)SH에너지화학,002360,2006/12,1,,UQ,0,-2.49,-2.16,-3.2,8.59,88.37,1.94,283.3,6.59,13.18,23.66,7,74695,24159
(주)SH에너지화학,002360,2007/12,1,,UQ,9.4,3.5,3,4.45,13.84,81.69,2,88.16,9.65,21.61,18.3,7.45,82236,26949
(주)SH에너지화학,002360,2008/12,1,,UQ,20.65,-14.92,-11.85,-17.36,2.38,96.8,1.96,101.77,-5.05,-11.13,19.87,8.03,96466,29765
(주)SH에너지화학,002360,2009/12,1,,UQ,4.48,6.03,4.6,6.61,8.36,88.78,1.83,422.44,9,21.73,24.71,7.8,99400,29712
(주)SH에너지화학,002360,2010/12,1,,UQ,-9.08,-4.83,-3.99,-5.69,14.58,80.61,1.92,442.26,-0.22,-0.51,23.97,8.59,90395,27039
(주)SH에너지화학,002360,2011/12,1,,UQ,1.8,3.91,3.28,4.95,14.45,78.72,2.13,315.51,8.74,28.02,20.1,7.7,102383,37885
(주)SH에너지화학,002360,2012/12,1,,UQ,0.6,1.3,1.05,1.67,19.55,72.84,2.31,121.97,7.14,22.93,15.16,6.92,102493,37604
(주)SH에너지화학,002360,2013/12,1,,UQ,7.54,5.52,4.56,7.19,20.77,69.56,2.62,95.75,10.92,38.58,17.57,7.96,109985,40203
(주)SH에너지화학,002360,2014/12,1,,UQ,19.52,17.32,14.21,20.33,32.14,60.46,2.52,94.9,23.76,85.38,17.57,7.48,109098,25694
(주)SH에너지화학,002360,2015/12,1,,UQ,8.8,13.51,11.33,14.52,41.16,51.73,2.29,130.5,22.09,78.06,16.9,7.25,114048,23308
(주)SH에너지화학,002360,2016/12,1,,UQ,13.6,16.51,14.83,18.13,54.8,39.16,2.01,166.75,24.61,96.59,19.3,6.02,122957,19874
(주)SH에너지화학,002360,2017/12,1,,UQ,2.56,7.85,7.23,8.53,57.4,38.41,1.63,117.57,14.82,59.63,12.58,5.32,123262,17544
(주)SH에너지화학,002360,2018/12,1,,UQ,-1.56,2.48,2.27,2.64,58.68,37.91,1.62,138.3,8.06,33.13,9.17,6.84,120896,16830
(주)SH에너지화학,002360,2019/12,1,,UQ,-6.42,-2.85,-2.6,-3.13,55.94,40.61,1.25,140.98,2.28,8.96,7.52,6.31,121126,23740
(주)SH에너지화학,002360,2020/12,1,,UQ,-7.77,-6.8,-6.07,-7.71,49.3,47.54,0.86,79.3,-2.57,-9.85,7.18,5.5,116570,26753
(주)SIMPAC,009160,2000/12,1,,,5.19,1.95,1.92,5.14,-15.89,136.6,0.85,3.82,18.64,33.17,4.05,5.61,75649,46340
(주)SIMPAC,009160,2001/12,1,,,0.25,-6.71,-6.58,-17.66,-14.51,136.75,0.57,2.01,9.31,18.32,2.61,3.02,81804,52422
(주)SIMPAC,009160,2002/12,1,,,0.36,0.14,0.14,0.37,-14.11,133.84,0.68,2.67,12.53,23.26,2.88,3.92,77825,48338
(주)SIMPAC,009160,2003/12,1,,,12.1,4.39,4.34,11.34,-10.41,125.22,0.96,3.64,13.32,26.82,4.64,4.92,85705,52650
(주)SIMPAC,009160,2004/12,1,,,11.36,6.64,6.5,15.56,-9.05,119.08,1.02,3.6,18.48,35.42,7.42,4,81538,44728
(주)SIMPAC,009160,2005/12,1,,,22.03,8.89,8.42,18.54,7.3,87.72,1.05,4,17.54,40.55,10.37,3.74,98351,53430
(주)SIMPAC,009160,2006/12,1,,,16.69,9.71,8.58,17.8,-6.8,113.21,1.2,4.48,16.98,41.78,9.12,4.22,103516,51097
(주)SIMPAC,009160,2007/12,1,,,31.5,12.37,10.69,20.21,23.67,65.55,1.12,4.41,19.85,61.07,9.56,4.39,125936,57007
(주)SIMPAC,009160,2008/12,1,,,33.97,20.93,17.51,31.63,17.2,71.5,1.08,4.49,23.97,107.52,8.38,4.63,165452,73105
(주)SIMPAC,009160,2009/12,1,,UQ,12.81,11.83,8,13.93,3.08,94.98,1.06,3.71,14.55,110.06,5.81,3.75,176978,72798
(주)SIMPAC,009160,2010/12,1,,UQ,24.41,15.43,9.51,17.21,8.81,84.04,1.39,4.94,14.85,124,8.84,3.91,246340,116728
(주)SIMPAC,009160,2011/12,1,,UQ,20.23,11.28,7.8,14.85,11.55,80.95,1.14,5.5,12.36,59.6,9.02,3.65,296953,141120
(주)SIMPAC,009160,2012/12,1,,UQ,14.12,10.46,7.45,13.5,13.86,78.63,1.04,5.93,11.36,54.38,8.67,3.61,307367,129536
(주)SIMPAC,009160,2013/12,1,,UQ,11.29,8.26,5.84,10.22,-7.77,112.59,0.88,5.37,9.55,52,8.04,3.06,349837,151936
(주)SIMPAC,009160,2014/12,1,,UQ,3.03,4.69,3.01,5.09,0.59,99.08,1.04,5.84,6.73,32.45,7.91,3.36,329326,125421
(주)SIMPAC,009160,2015/12,1,,UQ,7.94,9.77,5.57,9.17,-1.32,102.16,1.07,5.1,9.45,49.41,5.28,3.33,369349,149261
(주)SIMPAC,009160,2016/12,1,,UQ,4.03,7.74,4.47,7.32,2.01,96.86,1.02,5.06,8.9,43.36,4.78,3.87,366245,137286
(주)SIMPAC,009160,2017/12,1,,UQ,-2.26,3.47,2.01,3.15,3.09,95.36,0.99,6.15,6.59,32.09,5.36,3.51,343005,119223
(주)SIMPAC,009160,2018/12,1,,UQ,83.71,19.83,12.84,19.65,10.39,84.48,0.85,8.67,12.64,50.91,3.89,4.35,628334,217215
(주)SIMPAC,009160,2019/12,1,,UQ,1.97,2.83,1.86,2.77,7.59,89.28,0.96,12.57,5.53,22.19,4.51,7.75,608693,189477
(주)SIMPAC,009160,2020/12,1,,UQ,3.58,6.65,4.16,6.16,8.13,88.14,0.69,8.34,8.04,36.52,3.21,6.56,656622,222410
(주)SNT에너지,100840,2008/12,1,,,,,,,,,,,,,,,217486,71706
(주)SNT에너지,100840,2009/12,1,,,0,12.03,11.94,20.55,23.53,63.86,0.62,6.84,17.89,45.01,32.66,3.32,296434,124174
(주)SNT에너지,100840,2010/12,1,,,-3.23,1.02,1.01,1.64,22.85,69.23,0.78,6.29,4.62,9.46,38.75,3.24,252523,85823
(주)SNT에너지,100840,2011/12,1,,,-3.66,-1.58,-1.57,-2.54,17.89,72.6,0.74,4.55,1.29,2.91,18.73,2.83,276512,115916
(주)SNT에너지,100840,2012/12,1,,,14.14,3.23,3.19,5.29,24.94,64.27,0.82,5.49,6.87,16.46,14.06,3.95,292802,109496
(주)SNT에너지,100840,2013/12,1,,,8.11,5.43,5.36,8.49,28.66,59.34,0.67,5.18,9.67,25.05,11.41,4.16,311675,113511
(주)SNT에너지,100840,2014/12,1,,,4.82,3.73,3.66,5.55,30.83,58.81,0.8,7.05,8.57,21.76,13.66,5.39,304512,96799
(주)SNT에너지,100840,2015/12,1,,,11.4,8.95,8.71,12.31,37.88,52.46,0.86,8.57,15.21,40.52,18.29,4.59,316196,84796
(주)SNT에너지,100840,2016/12,1,,,-0.69,0.51,0.5,0.72,31.49,55.43,0.78,9.48,4.6,13.56,29.08,4.51,348042,118243
(주)SNT에너지,100840,2017/12,1,,,1.75,1.45,1.41,1.98,41.23,50.71,0.58,9.02,6.17,15.86,40.44,3.71,300267,66449
(주)SNT에너지,100840,2018/12,1,,,-1.09,0.64,0.63,0.78,44.12,50.3,0.49,9.3,4.59,11.18,34.81,3.67,280992,49715
(주)SNT에너지,100840,2019/12,1,,UQ,6.17,4.92,4.76,6.12,41.37,48.51,0.68,11.8,8.99,25.79,25.65,3.38,331391,85846
(주)SNT에너지,100840,2020/12,1,,UQ,-3.66,2.94,2.84,3.9,36.64,52.21,0.72,8.63,7.07,20.12,28.6,2.89,332066,95507
(주)SNT홀딩스,036530,2000/12,1,,,155.83,42.7,40.3,58.64,47.1,38.73,1.97,44.58,51.81,190.65,78.02,17.92,52506,15706
(주)SNT홀딩스,036530,2001/12,1,,,61.31,36.9,36.44,51.79,45.09,43.31,1.44,167.1,50.65,159.73,20.3,24.82,84148,24788
(주)SNT홀딩스,036530,2002/12,1,,,31.27,23.04,21.9,30.54,49.12,40.18,0.9,209.49,32.72,134.69,10.91,77.17,107287,29367
(주)SNT홀딩스,036530,2003/12,1,,UQ,20.58,17.34,13.48,18.7,21.31,74.11,0.55,8.75,22.86,85.96,6.55,24.93,131107,37150
(주)SNT홀딩스,036530,2004/12,1,,UQ,11.48,19.03,11.73,16.55,14.83,81.64,0.75,5.83,20.2,87.02,4.97,11.78,149436,44689
(주)SNT홀딩스,036530,2005/12,1,,UQ,24.26,18.44,10.82,15.19,21.63,72.58,0.9,5.7,17.75,107.75,4.57,10.36,180145,49990
(주)SNT홀딩스,036530,2006/12,1,,UQ,13.87,18.71,11.17,15.44,21.31,71.99,1.05,5.19,17.01,118.52,5.65,6.75,204633,56426
(주)SNT홀딩스,036530,2007/12,1,,UQ,51.47,13.67,6.98,9.44,13,83.3,1.22,6.78,12.3,127.46,5.33,5.09,299322,74835
(주)SNT홀딩스,036530,2008/12,1,,UQ,64.57,29.76,6,7.11,1.71,98.29,0.47,3.42,4.48,54315.43,1.76,1.85,404847,35416
(주)SNT홀딩스,036530,2009/12,1,,UQ,-2.08,81.7,4.26,4.68,7.86,92.07,1.51,0,5.64,49828.28,0,51.29,398373,36625
(주)SNT홀딩스,036530,2010/12,1,,UQ,8.54,95.53,7.81,8.54,7.47,92.52,1.04,0,7.72,17456.77,0,56.45,427167,34524
(주)SNT홀딩스,036530,2011/12,1,,UQ,-1.22,11.72,1.41,1.48,16.61,83.38,0.05,0,-0.75,-1943.87,0,3.58,388124,285
(주)SNT홀딩스,036530,2012/12,1,,UQ,0.2,16.91,2.32,2.32,10.43,89.56,0.16,0,2.58,10012.82,0,13.03,388965,353
(주)SNT홀딩스,036530,2013/12,1,,UQ,2.12,17.78,2.04,2.04,12.31,87.68,0.2,0,2.23,16221.44,0,13.74,397336,484
(주)SNT홀딩스,036530,2014/12,1,,UQ,0.51,14.24,1.73,1.73,11.73,88.26,0.16,0,1.88,9975.62,0,12.49,399244,381
(주)SNT홀딩스,036530,2015/12,1,,UQ,5.78,37.42,6.69,6.77,21.22,78.34,0.11,0,8.53,66378.76,0,13.5,430584,8659
(주)SNT홀딩스,036530,2016/12,1,,UQ,1.13,6.96,1.61,1.63,22.75,77.24,0.1,0,1.56,18660.75,0,15.16,427002,319
(주)SNT홀딩스,036530,2017/12,1,,UQ,-0.36,4.22,0.98,0.98,23.02,76.97,0.08,275.67,1.05,22373.24,0,12.29,425435,299
(주)SNT홀딩스,036530,2018/12,1,,UQ,-0.6,6.56,1.47,1.47,21.13,78.86,0.08,271,1.63,239042.45,0,12.63,422805,232
(주)SNT홀딩스,036530,2019/12,1,,UQ,-1.33,15.12,2.2,2.2,7.55,92.44,0.18,0,2.55,17836.8,0,18.9,417173,233
(주)SNT홀딩스,036530,2020/12,1,,UQ,1.62,83.51,5.46,5.46,5.22,94.77,0.92,0,5.85,54516.8,0,36.2,423961,277
(주)STX,011810,2000/12,1,,UQ,-2.27,0.82,0.76,2.99,8.86,84.18,0.64,4.89,17.04,48.24,2.68,2.86,439075,329294
(주)STX,011810,2001/12,1,,UQ,4.8,1.4,1.08,4.45,-16.63,137.98,0.85,5.44,12.76,65.44,3.5,3.55,483587,368537
(주)STX,011810,2002/12,1,,UQ,31.33,12.74,7.46,29.3,-15.29,130.98,1.23,4.22,16.5,99.46,6.02,4.79,562003,410903
(주)STX,011810,2003/12,1,,UQ,11.73,1.98,1.16,4.15,-15.59,137.51,1.39,4.06,10.58,63.35,7.33,4.86,583366,414544
(주)STX,011810,2004/12,1,,UQ,-22.69,6.7,3.65,11.15,-7.31,111.32,1.33,4.14,11.26,93.95,7.81,5.12,330134,199624
(주)STX,011810,2005/12,1,,UQ,44.12,11.61,5.47,14.74,-11.8,122.49,3.26,12.91,8.67,60.63,32.47,27.76,528776,340683
(주)STX,011810,2006/12,1,,UQ,16.57,9.66,4.76,14.41,-8.05,114.42,3.1,17.42,12.51,116.65,27.84,37.3,704540,485289
(주)STX,011810,2007/12,1,,UQ,89.63,16.91,8.32,26.14,2.66,95.7,2.56,15.3,14.38,240.96,37.89,17.53,1290454,874677
(주)STX,011810,2008/12,1,,UQ,124.17,2.68,1.34,3.45,2.66,95.67,2.79,16.03,5,94.21,18.62,11.52,2185999,1253967
(주)STX,011810,2009/12,1,,UQ,-9.36,-15.45,-7.3,-19.34,-19.4,141.99,2,10.76,-4.19,-60.04,9.99,8.65,2523599,1678819
(주)STX,011810,2010/12,1,,UQ,5.57,1.72,0.73,2.28,-5.31,108.52,2.82,14.75,6.86,124.6,15.97,13.2,2888566,1996713
(주)STX,011810,2011/12,1,,UQ,30.59,7.29,2.73,8.23,-17.43,133.2,3.59,17.27,6.97,316.23,18.99,11.96,3302248,2137600
(주)STX,011810,2012/12,1,,UQ,-3.53,-2.2,-0.73,-2.09,-29.89,168.64,3.79,17.33,2.82,130.54,23.59,9.87,3226878,2103344
(주)STX,011810,2013/12,1,,QS,0,-185.85,-76.32,0,-39.71,0,2.14,11.54,-139.81,-2444.17,24.25,5.98,1086567,1608657
(주)STX,011810,2014/12,1,,UQ,0,42.19,31.01,0,5.26,85.87,1.63,13.19,36.46,683.18,13.16,6,1070433,1015539
(주)STX,011810,2015/12,1,,UQ,31.74,-6.46,-5.02,-84.03,-1.41,103.93,1.65,15.9,-0.71,-13.93,9.33,7.46,1057543,985227
(주)STX,011810,2016/12,1,,UQ,0,-67.4,-54.14,0,-75.37,0,2.17,11.53,-65.13,-1327.33,10.35,8.3,627686,956569
(주)STX,011810,2017/12,1,,UQ,0,71.09,58.56,0,-20,256.74,3.37,11.59,70.46,1237.4,13.13,10.46,520393,475683
(주)STX,011810,2018/12,1,,UQ,39.15,1.32,1.04,9.4,-14.35,175.56,3.48,15.48,6.31,99.1,13.82,12.51,446758,384545
(주)STX,011810,2019/12,1,,UQ,-18.64,-10.47,-8.17,-65.84,-18.3,198.94,3.49,17.26,-3.27,-34.96,13.85,11.7,462734,412118
(주)STX,011810,2020/12,1,,UQ,-48.92,-5.56,-4.02,-43.36,-43.84,437.49,2.64,10.37,1.27,9.38,11.91,9.1,362854,336998
(주)TCC스틸,002710,2000/12,1,,UQ,15.5,2.51,1.95,4.45,1.36,97.9,1.24,6.05,13.81,33.33,9.89,4.85,209857,113914
(주)TCC스틸,002710,2001/12,1,,UQ,6.95,2.96,2.36,4.96,1.69,97.48,1.14,8.68,16.7,40.25,8.83,4.8,207081,104468
(주)TCC스틸,002710,2002/12,1,,UQ,0.91,2.77,2.18,4.32,1.56,97.67,1.24,15.26,15.34,36.18,10.63,5.15,200883,97341
(주)TCC스틸,002710,2003/12,1,,UQ,8.87,5.49,4.31,8.28,5.15,92.44,1.34,12.52,18.2,45.81,9.29,5.9,214645,101923
(주)TCC스틸,002710,2004/12,1,,UQ,9.65,8.49,6.69,12.88,3.67,94.21,1.45,12.28,13.75,35.74,8,6.89,240310,116706
(주)TCC스틸,002710,2005/12,1,,UQ,6.34,3.69,2.9,5.68,8.43,87.35,1.37,13.81,9.43,26.65,6.12,6.67,258281,126845
(주)TCC스틸,002710,2006/12,1,,UQ,3.28,3.39,2.62,5.07,4.74,92.75,1.27,15.31,8.34,22.77,5.55,6.35,257516,121768
(주)TCC스틸,002710,2007/12,1,,UQ,2.25,0.5,0.38,0.75,1.48,97.52,1.31,14.75,5.74,17.27,5.99,6.4,279622,140824
(주)TCC스틸,002710,2008/12,1,,UQ,0.19,0.27,0.21,0.43,1.25,97.79,1.87,19.33,6.71,20.71,7.48,9.31,287094,148028
(주)TCC스틸,002710,2009/12,1,,UQ,9.85,5.55,4.33,8.23,9.66,85.42,1.58,13.77,11.91,35.51,6.98,7.67,268072,115302
(주)TCC스틸,002710,2010/12,1,,UQ,4.06,4.76,3.75,6.91,9.84,83.88,1.82,14,10.09,34.53,8.12,7.94,306366,147394
(주)TCC스틸,002710,2011/12,1,,UQ,29.34,2.81,1.91,3.75,4.8,92.59,1.88,14.79,6.5,35.74,6.58,7.3,407744,202127
(주)TCC스틸,002710,2012/12,1,,UQ,2.01,1.73,0.99,2.03,12.07,83.61,1.81,14.17,5.57,34.55,5.78,6.66,438643,228887
(주)TCC스틸,002710,2013/12,1,,UQ,0.16,0.17,0.09,0.19,11.61,85.09,1.79,14.54,4.29,26.73,6.05,6.9,444205,234119
(주)TCC스틸,002710,2014/12,1,,UQ,0,0.47,0.23,0.49,-10.49,117.8,1.83,15.41,4.29,28.82,6.59,6.88,461298,251204
(주)TCC스틸,002710,2015/12,1,,UQ,-63.56,-59.79,-35.38,-97.74,24.45,61.39,1.49,15.44,-40.39,-263.8,6.68,6.82,330652,254096
(주)TCC스틸,002710,2016/12,1,,UQ,20.99,7.73,5.32,18.29,7.77,88.76,1.58,15.03,13.7,78.8,7,7,250878,158255
(주)TCC스틸,002710,2017/12,1,,UQ,-3.24,-1.57,-0.93,-2.56,-18.76,146.56,2.25,15.94,5.14,28.12,7.18,7.34,248896,159269
