,번호,시간,회사명,종목코드,공시제목,제출인
93,8,2015-02-17 15:46,코데즈컴바인,47770,파산신청,코데즈컴바인
94,7,2015-02-16 17:53,GT&T,53870,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],지티앤티
95,6,2015-02-13 17:08,GT&T,53870,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],지티앤티
96,5,2015-02-13 16:36,코세스,89890,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,코세스
97,4,2015-02-12 17:15,아이디에스,78780,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],아이디에스
98,3,2015-02-05 13:09,오리엔탈정공,14940,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,오리엔탈정공
99,2,2015-02-03 17:52,한프,66110,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,한프
0,250,2020-12-30 18:14,크로바하이텍,43590,회생절차 종결신청,크로바하이텍
1,249,2020-12-22 17:40,아리온,58220,회생절차개시결정,아리온테크놀로지
2,248,2020-12-10 08:25,크로바하이텍,43590,[정정]회생계획 인가,크로바하이텍
3,247,2020-12-09 19:11,크로바하이텍,43590,회생계획 인가[정],크로바하이텍
4,246,2020-12-07 18:41,아리온,58220,회생절차개시신청,아리온테크놀로지
5,245,2020-11-30 16:10,에이치엔티,176440,회생계획 인가,에이치엔티일렉트로닉스
6,244,2020-11-17 16:01,럭슬,33600,[정정]회생절차개시신청,럭슬
7,243,2020-11-13 15:33,참존글로벌,158310,[정정]회생절차개시결정[정],참존글로벌
8,242,2020-10-29 18:01,에이치엔티,176440,회생절차개시결정,에이치엔티일렉트로닉스
9,241,2020-10-29 17:58,한프,66110,[정정]회생절차개시신청,한프
10,240,2020-10-29 16:45,한프,66110,회생절차개시결정,한프
11,239,2020-10-28 18:24,매직마이크로,127160,파산신청 기각,매직마이크로
12,238,2020-10-28 18:23,매직마이크로,127160,파산신청 기각,매직마이크로
13,237,2020-10-22 17:47,매직마이크로,127160,파산신청,매직마이크로
14,236,2020-10-15 10:54,행남사,8800,회생계획 인가,행남사
15,235,2020-10-08 17:57,비츠로시스,54220,회생절차 종결결정,비츠로시스
16,234,2020-10-06 16:56,아이엠텍,226350,[정정]회생절차개시결정,아이엠텍
17,233,2020-10-05 18:19,에이치엔티,176440,회생절차개시신청,에이치엔티일렉트로닉스
18,232,2020-09-25 17:16,매직마이크로,127160,파산신청,매직마이크로
19,231,2020-09-24 16:11,비츠로시스,54220,회생절차 종결신청,비츠로시스
20,230,2020-09-02 15:40,럭슬,33600,회생절차개시신청[정],럭슬
21,229,2020-08-31 17:39,행남사,8800,[정정]회생절차개시결정,행남사
22,228,2020-08-26 14:23,아이엠텍,226350,[정정]회생절차개시결정[정],아이엠텍
23,227,2020-08-21 15:48,휴온스블러썸,263920,회생절차개시결정,휴온스블러썸
24,226,2020-08-07 07:38,휴온스블러썸,263920,회생절차개시신청,휴온스블러썸
25,225,2020-08-06 17:45,한프,66110,회생절차개시신청[정],한프
26,224,2020-08-05 18:22,릭스솔루션,29480,파산신청 기각,릭스솔루션
27,223,2020-07-31 07:44,릭스솔루션,29480,파산신청,릭스솔루션
28,222,2020-07-30 15:42,한프,66110,회생절차개시신청,한프
29,221,2020-07-28 14:54,이노와이즈,86250,회생절차개시결정,화신테크
30,220,2020-07-15 17:52,참존글로벌,158310,회생절차개시결정[정],참존글로벌
31,219,2020-06-30 17:11,아이엠텍,226350,회생절차개시결정[정],아이엠텍
32,218,2020-06-17 18:49,바이오빌,65940,회생절차개시결정,바이오빌
33,217,2020-06-12 16:46,화진,134780,회생절차 종결결정,에스엠화진
34,216,2020-06-10 16:25,화진,134780,회생절차 종결신청,에스엠화진
35,215,2020-06-09 17:59,참존글로벌,158310,회생절차개시신청,참존글로벌
36,214,2020-06-09 16:26,아이엠텍,226350,회생절차개시신청,아이엠텍
37,213,2020-06-01 18:37,행남사,8800,회생절차개시결정[정],행남사
38,212,2020-05-22 17:56,행남사,8800,회생절차개시신청,행남사
39,211,2020-05-18 13:20,비츠로시스,54220,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,비츠로시스
40,210,2020-05-15 20:42,비츠로시스,54220,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],비츠로시스
41,209,2020-05-13 15:48,화진,134780,[정정]회생계획 인가,에스엠화진
42,208,2020-05-12 17:48,한프,66110,파산신청,한프
43,207,2020-05-11 16:50,EMW,79190,회생절차 종결결정,이엠따블유
44,206,2020-05-08 15:03,이노와이즈,86250,회생절차개시신청,화신테크
45,205,2020-05-07 14:39,현진소재,53660,회생절차개시결정,현진소재
46,204,2020-05-06 15:20,EMW,79190,회생절차 종결신청,이엠따블유
47,203,2020-05-06 07:39,비츠로시스,54220,회생계획 인가,비츠로시스
48,202,2020-04-29 12:00,화진,134780,회생계획 인가[정],에스엠화진
49,201,2020-04-27 16:27,EMW,79190,[정정]회생계획 인가,이엠따블유
50,200,2020-04-24 18:07,바이오빌,65940,[정정]회생절차개시신청,바이오빌
51,199,2020-04-24 18:03,EMW,79190,회생계획 인가[정],이엠따블유
52,198,2020-04-20 17:55,현진소재,53660,회생절차개시신청,현진소재
53,197,2020-04-20 11:34,바른전자,64520,회생절차 종결결정,바른전자
54,196,2020-04-10 17:35,바른전자,64520,회생절차 종결신청,바른전자
55,195,2020-04-07 17:26,바이오빌,65940,회생절차개시신청[정],바이오빌
56,194,2020-03-27 18:45,EMW,79190,회생절차개시결정,이엠따블유
57,193,2020-03-25 17:48,제낙스,65620,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,제낙스
58,192,2020-03-23 07:46,CSA 코스믹,83660,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,씨에스에이코스믹
59,191,2020-03-20 20:09,크로바하이텍,43590,회생절차개시결정,크로바하이텍
60,190,2020-03-20 18:46,솔고바이오,43100,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,솔고바이오메디칼
61,189,2020-03-19 18:53,EMW,79190,회생절차개시신청,이엠따블유
62,188,2020-03-18 17:42,이엠네트웍스,87730,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,이엠네트웍스
63,187,2020-03-17 19:14,이녹스,88390,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생(자회사의 주요경영사항),이녹스
64,186,2020-03-17 18:55,알톤스포츠,123750,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,알톤스포츠
65,185,2020-03-13 16:17,제낙스,65620,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],제낙스
66,184,2020-03-12 18:07,크루셜텍,114120,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,크루셜텍
67,183,2020-03-11 18:30,국순당,43650,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,국순당
68,182,2020-03-11 17:49,이엠네트웍스,87730,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],이엠네트웍스
69,181,2020-03-11 16:59,바이오빌,65940,회생절차 폐지결정,바이오빌
70,180,2020-03-11 15:45,리드,197210,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,리드
71,179,2020-03-10 17:48,한프,66110,[정정]회생절차개시신청,한프
72,178,2020-03-09 17:46,한프,66110,[정정]회생절차개시신청[정],한프
73,177,2020-03-09 15:02,스카이문스테크놀로지,33790,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,스카이문스테크놀로지
74,176,2020-03-02 17:42,크로바하이텍,43590,회생절차개시신청,크로바하이텍
75,175,2020-03-02 11:28,행남사,8800,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,행남사
76,174,2020-02-28 19:05,행남사,8800,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],행남사
77,173,2020-02-28 18:47,이엠앤아이,83470,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,이엠앤아이
78,172,2020-02-28 17:29,에스마크,30270,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,에스마크
79,171,2020-02-28 17:06,현진소재,53660,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,현진소재
80,170,2020-02-27 18:26,코썬바이오,204990,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,코썬바이오
81,169,2020-02-27 17:10,리드,197210,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],리드
82,168,2020-02-27 16:17,크루셜텍,114120,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],크루셜텍
83,167,2020-02-26 20:13,리드,197210,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],리드
84,166,2020-02-26 18:15,리드,197210,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],리드
85,165,2020-02-26 17:39,한프,66110,[정정]회생절차개시신청[정],한프
86,164,2020-02-24 17:47,한프,66110,회생절차개시신청[정],한프
87,163,2020-02-21 18:21,이엘케이,94190,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,이엘케이
88,162,2020-02-17 17:27,국순당,43650,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],국순당
89,161,2020-02-17 15:08,한프,66110,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,한프
90,160,2020-02-14 17:18,에스마크,30270,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],에스마크
91,159,2020-02-14 16:55,솔고바이오,43100,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],솔고바이오메디칼
92,158,2020-02-13 16:57,CSA 코스믹,83660,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],씨에스에이코스믹
93,157,2020-02-13 15:59,에스디시스템,121890,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,에스디시스템
94,156,2020-02-13 07:39,이엠네트웍스,87730,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],이엠네트웍스
95,155,2020-02-12 16:21,에스앤더블류,103230,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,에스앤더블류
96,154,2020-02-11 17:02,파나진,46210,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,파나진
97,153,2020-02-10 16:32,국순당,43650,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],국순당
98,152,2020-02-10 16:24,유아이디,69330,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,유아이디
99,151,2020-02-07 17:14,이녹스,88390,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생(자회사의 주요경영사항)[정],이녹스
