,번호,시간,회사명,종목코드,공시제목,제출인
35,17,2010-02-25 16:06,테이크시스템,76090,파산신청,테이크시스템즈
36,16,2010-01-26 14:34,디보스,80140,회생절차 폐지결정,디보스
37,15,2009-10-27 17:43,나리지*온,36850,회생절차 종결결정,나리지*온
38,14,2009-10-14 13:36,나리지*온,36850,회생절차 종결신청,나리지*온
39,13,2009-08-26 14:39,케너텍,62730,[정정]회생절차개시결정,케너텍
40,12,2009-08-26 07:08,케너텍,62730,회생절차 폐지결정,케너텍
41,11,2009-08-11 17:24,디보스,80140,[정정]회생절차개시결정,디보스
42,10,2009-07-21 16:44,디보스,80140,[정정]회생절차개시결정[정],디보스
43,9,2009-07-07 16:40,케너텍,62730,[정정]회생절차개시결정[정],케너텍
44,8,2009-06-17 15:12,디보스,80140,[정정]회생절차개시결정[정],디보스
45,7,2009-04-21 15:07,디보스,80140,회생절차개시결정[정],디보스
46,6,2009-04-20 14:51,케너텍,62730,회생절차개시결정[정],케너텍
47,5,2009-04-07 17:55,디보스,80140,회생절차개시신청,디보스
48,4,2009-03-19 16:01,포이보스,38810,회생절차개시결정,포이보스
49,3,2009-03-11 17:49,케너텍,62730,회생절차개시신청,케너텍
50,2,2009-02-16 07:16,포이보스,38810,회생절차개시신청,포이보스
51,1,2009-01-19 18:14,디에스피,16040,회생절차개시결정,디에스피이엔티
0,119,2014-12-12 17:53,에이스하이텍,71930,파산신청 기각,에이스하이텍
1,118,2014-12-05 16:37,에이스하이텍,71930,파산신청,에이스하이텍
2,117,2014-12-04 14:29,잘만테크,90120,회생절차개시결정[정],잘만테크
3,116,2014-11-17 17:55,영진코퍼레이션,53330,회생절차개시결정,영진코퍼레이션
4,115,2014-11-03 18:51,잘만테크,90120,회생절차개시신청,잘만테크
5,114,2014-10-30 17:37,영진코퍼레이션,53330,회생절차개시신청,영진코퍼레이션
6,113,2014-06-12 16:01,디지텍시스템,91690,[정정]회생절차개시결정,디지텍시스템스
7,112,2014-05-29 13:24,AJS,13340,회생절차개시결정,뉴아세아조인트
8,111,2014-05-08 17:51,CU전자,56340,부도발생,씨유전자
9,110,2014-04-28 17:58,AJS,13340,회생절차개시신청,뉴아세아조인트
10,109,2014-04-14 15:47,디지텍시스템,91690,회생절차개시결정[정],디지텍시스템스
11,108,2014-03-28 15:32,모린스,110310,회생절차개시신청,모린스
12,107,2014-03-26 10:12,엘컴텍,37950,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엘컴텍
13,106,2014-03-19 18:04,한진피앤씨,61460,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,한진피앤씨
14,105,2014-03-18 18:16,삼표시멘트,38500,회생계획 인가,삼표시멘트
15,104,2014-03-17 17:37,오성첨단소재,52420,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,오성첨단소재
16,103,2014-03-17 09:03,와이즈파워,40670,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,와이즈파워
17,102,2014-03-14 17:58,와이즈파워,40670,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],와이즈파워
18,101,2014-03-14 16:57,오성첨단소재,52420,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],오성첨단소재
19,100,2014-03-14 08:07,디지텍시스템,91690,[정정]회생절차개시신청,디지텍시스템스
20,99,2014-03-14 07:02,디지텍시스템,91690,회생절차개시신청[정],디지텍시스템스
21,98,2014-03-13 17:51,릭스솔루션,29480,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,릭스솔루션
22,97,2014-03-13 17:40,에버테크노,70480,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,신비앤텍
23,96,2014-03-13 17:28,태산엘시디,36210,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,태산엘시디
24,95,2014-03-12 18:48,대성엘텍,25440,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,대성엘텍
25,94,2014-03-12 18:00,대성엘텍,25440,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],대성엘텍
26,93,2014-03-12 15:39,한진피앤씨,61460,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],한진피앤씨
27,92,2014-03-11 18:11,한진피앤씨,61460,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],한진피앤씨
