,회사명,거래소코드,회계년도,종가,년,key,종가변동률
70,(주)강원랜드,35250,2002/12,112000.0,2002,352502003,-0.15471698113207547
71,(주)강원에너지,114190,2000/11,,2000,1141902001,-0.021396396396396396
72,(주)강원에너지,114190,2001/11,,2001,1141902002,-0.021396396396396396
73,(주)강원에너지,114190,2002/11,,2002,1141902003,-0.021396396396396396
74,(주)강원에너지,114190,2003/11,,2003,1141902004,-0.021396396396396396
75,(주)강원에너지,114190,2004/11,,2004,1141902005,-0.021396396396396396
76,(주)강원에너지,114190,2005/11,,2005,1141902006,-0.021396396396396396
77,(주)강원에너지,114190,2006/11,,2006,1141902007,-0.021396396396396396
78,(주)강원에너지,114190,2007/11,,2007,1141902008,-0.021396396396396396
79,(주)강원에너지,114190,2008/11,,2008,1141902009,-0.021396396396396396
80,(주)강원에너지,114190,2009/11,4440.0,2009,1141902010,-0.021396396396396396
81,(주)강원에너지,114190,2010/11,4345.0,2010,1141902011,-0.021396396396396396
82,(주)강원에너지,114190,2011/11,4530.0,2011,1141902012,0.04257767548906789
83,(주)강원에너지,114190,2012/12,4405.0,2012,1141902013,-0.02759381898454746
84,(주)강원에너지,114190,2013/12,2205.0,2013,1141902014,-0.49943246311010214
85,(주)강원에너지,114190,2014/12,2105.0,2014,1141902015,-0.045351473922902494
86,(주)강원에너지,114190,2015/12,2870.0,2015,1141902016,0.36342042755344417
87,(주)강원에너지,114190,2016/12,2740.0,2016,1141902017,-0.04529616724738676
88,(주)강원에너지,114190,2017/12,2490.0,2017,1141902018,-0.09124087591240876
89,(주)강원에너지,114190,2018/12,2740.0,2018,1141902019,0.10040160642570281
90,(주)강원에너지,114190,2019/12,3810.0,2019,1141902020,0.3905109489051095
91,(주)강원에너지,114190,2020/12,2500.0,2020,1141902021,-0.3438320209973753
92,(주)게임빌,63080,2004/12,,2004,630802005,-0.25679347826086957
93,(주)게임빌,63080,2005/12,,2005,630802006,-0.25679347826086957
94,(주)게임빌,63080,2006/12,,2006,630802007,-0.25679347826086957
95,(주)게임빌,63080,2007/12,,2007,630802008,-0.25679347826086957
96,(주)게임빌,63080,2008/12,,2008,630802009,-0.25679347826086957
97,(주)게임빌,63080,2009/12,36800.0,2009,630802010,-0.25679347826086957
98,(주)게임빌,63080,2010/12,27350.0,2010,630802011,-0.25679347826086957
99,(주)게임빌,63080,2011/12,68100.0,2011,630802012,1.489945155393053
100,(주)게임빌,63080,2012/12,100800.0,2012,630802013,0.4801762114537445
101,(주)게임빌,63080,2013/12,45700.0,2013,630802014,-0.5466269841269841
102,(주)게임빌,63080,2014/12,120700.0,2014,630802015,1.6411378555798688
103,(주)게임빌,63080,2015/12,77500.0,2015,630802016,-0.35791217895608946
104,(주)게임빌,63080,2016/12,48700.0,2016,630802017,-0.3716129032258065
105,(주)게임빌,63080,2017/12,92300.0,2017,630802018,0.8952772073921971
106,(주)게임빌,63080,2018/12,54400.0,2018,630802019,-0.4106175514626219
107,(주)게임빌,63080,2019/12,30250.0,2019,630802020,-0.44393382352941174
108,(주)게임빌,63080,2020/12,36850.0,2020,630802021,0.21818181818181817
109,(주)경윤하이드로에너지,19120,1999/12,12350.0,1999,191202000,0.05668016194331984
110,(주)경윤하이드로에너지,19120,2000/12,13050.0,2000,191202001,0.05668016194331984
111,(주)경윤하이드로에너지,19120,2001/12,19000.0,2001,191202002,0.4559386973180077
112,(주)경윤하이드로에너지,19120,2002/12,1430.0,2002,191202003,-0.9247368421052632
113,(주)경윤하이드로에너지,19120,2003/12,1450.0,2003,191202004,0.013986013986013986
114,(주)경윤하이드로에너지,19120,2004/12,1895.0,2004,191202005,0.30689655172413793
115,(주)경윤하이드로에너지,19120,2005/12,1565.0,2005,191202006,-0.1741424802110818
116,(주)경윤하이드로에너지,19120,2006/12,1505.0,2006,191202007,-0.038338658146964855
117,(주)경윤하이드로에너지,19120,2007/12,1140.0,2007,191202008,-0.2425249169435216
118,(주)경윤하이드로에너지,19120,2008/12,850.0,2008,191202009,-0.2543859649122807
119,(주)경윤하이드로에너지,19120,2009/12,505.0,2009,191202010,-0.40588235294117647
120,(주)경윤하이드로에너지,19120,2010/12,119.0,2010,191202011,-0.7643564356435644
121,(주)고려시멘트,198440,2014/12,2045.0,2014,1984402015,-0.012224938875305624
122,(주)고려시멘트,198440,2015/12,2020.0,2015,1984402016,-0.012224938875305624
123,(주)고려시멘트,198440,2016/12,1995.0,2016,1984402017,-0.012376237623762377
124,(주)고려시멘트,198440,2017/12,1720.0,2017,1984402018,-0.13784461152882205
125,(주)고려시멘트,198440,2018/12,2595.0,2018,1984402019,0.5087209302325582
126,(주)고려시멘트,198440,2019/12,3075.0,2019,1984402020,0.18497109826589594
127,(주)고려시멘트,198440,2020/12,3030.0,2020,1984402021,-0.014634146341463415
128,(주)고바이오랩,348150,2019/12,,2019,3481502020,0.530758226037196
129,(주)고바이오랩,348150,2020/12,43350.0,2020,3481502021,0.530758226037196
130,(주)고영테크놀러지,98460,2005/12,,2005,984602006,0.530758226037196
131,(주)고영테크놀러지,98460,2006/12,,2006,984602007,0.530758226037196
132,(주)고영테크놀러지,98460,2007/12,,2007,984602008,0.530758226037196
133,(주)고영테크놀러지,98460,2008/12,6990.0,2008,984602009,0.530758226037196
134,(주)고영테크놀러지,98460,2009/12,10700.0,2009,984602010,0.530758226037196
135,(주)고영테크놀러지,98460,2010/12,18000.0,2010,984602011,0.6822429906542056
136,(주)고영테크놀러지,98460,2011/12,30900.0,2011,984602012,0.7166666666666667
137,(주)고영테크놀러지,98460,2012/12,28100.0,2012,984602013,-0.09061488673139159
138,(주)고영테크놀러지,98460,2013/12,27950.0,2013,984602014,-0.005338078291814947
139,(주)고영테크놀러지,98460,2014/12,42800.0,2014,984602015,0.5313059033989267
140,(주)고영테크놀러지,98460,2015/12,38650.0,2015,984602016,-0.0969626168224299
141,(주)고영테크놀러지,98460,2016/12,45200.0,2016,984602017,0.16946959896507116
142,(주)고영테크놀러지,98460,2017/12,82500.0,2017,984602018,0.8252212389380531
143,(주)고영테크놀러지,98460,2018/12,82500.0,2018,984602019,0.0
144,(주)고영테크놀러지,98460,2019/12,105500.0,2019,984602020,0.2787878787878788
145,(주)고영테크놀러지,98460,2020/12,105000.0,2020,984602021,-0.004739336492890996
146,(주)골드앤에스,35290,1999/12,18000.0,1999,352902000,-0.9288888888888889
147,(주)골드앤에스,35290,2000/12,1280.0,2000,352902001,-0.9288888888888889
148,(주)골드앤에스,35290,2001/12,1080.0,2001,352902002,-0.15625
149,(주)골드앤에스,35290,2002/12,460.0,2002,352902003,-0.5740740740740741
150,(주)골드앤에스,35290,2003/12,470.0,2003,352902004,0.021739130434782608
151,(주)골드앤에스,35290,2004/12,405.0,2004,352902005,-0.13829787234042554
152,(주)골드앤에스,35290,2005/12,935.0,2005,352902006,1.308641975308642
153,(주)골드앤에스,35290,2006/12,770.0,2006,352902007,-0.17647058823529413
154,(주)골드앤에스,35290,2007/12,1335.0,2007,352902008,0.7337662337662337
155,(주)골드앤에스,35290,2008/12,520.0,2008,352902009,-0.6104868913857678
156,(주)골드앤에스,35290,2009/12,620.0,2009,352902010,0.19230769230769232
157,(주)골드앤에스,35290,2010/12,445.0,2010,352902011,-0.28225806451612906
158,(주)골드앤에스,35290,2011/12,436.0,2011,352902012,-0.020224719101123594
159,(주)골드앤에스,35290,2012/12,476.0,2012,352902013,0.09174311926605505
160,(주)골드앤에스,35290,2013/12,175.0,2013,352902014,-0.6323529411764706
161,(주)골드앤에스,35290,2014/12,3360.0,2014,352902015,18.2
162,(주)골드앤에스,35290,2015/12,5980.0,2015,352902016,0.7797619047619048
163,(주)골드앤에스,35290,2016/12,3795.0,2016,352902017,-0.36538461538461536
164,(주)골드앤에스,35290,2017/12,4690.0,2017,352902018,0.23583662714097497
165,(주)골드앤에스,35290,2018/12,3170.0,2018,352902019,-0.32409381663113007
166,(주)골드앤에스,35290,2019/12,11750.0,2019,352902020,2.7066246056782335
167,(주)골드앤에스,35290,2020/12,11750.0,2020,352902021,0.0
168,(주)골드카운티,58900,2001/12,,2001,589002002,1.503030303030303
169,(주)골드카운티,58900,2002/12,,2002,589002003,1.503030303030303
170,(주)골드카운티,58900,2003/12,,2003,589002004,1.503030303030303
171,(주)골드카운티,58900,2004/12,1650.0,2004,589002005,1.503030303030303
172,(주)골드카운티,58900,2005/12,4130.0,2005,589002006,1.503030303030303
173,(주)골드카운티,58900,2006/12,6300.0,2006,589002007,0.5254237288135594
174,(주)골드카운티,58900,2007/12,765.0,2007,589002008,-0.8785714285714286
175,(주)골드카운티,58900,2008/12,1035.0,2008,589002009,0.35294117647058826
176,(주)골드카운티,58900,2009/12,420.0,2009,589002010,-0.5942028985507246
177,(주)골드퍼시픽,38530,1999/12,,1999,385302000,-0.03793103448275862
178,(주)골드퍼시픽,38530,2000/12,2900.0,2000,385302001,-0.03793103448275862
