iter	Passed	Remaining
440	1521	1929
441	1527	1928
442	1530	1924
443	1533	1920
444	1536	1916
445	1541	1914
446	1544	1911
447	1548	1908
448	1553	1905
449	1557	1903
450	1560	1899
451	1563	1895
452	1567	1892
453	1572	1891
454	1575	1887
455	1578	1883
456	1581	1879
457	1584	1874
458	1588	1872
459	1592	1869
460	1596	1866
461	1598	1861
462	1602	1859
463	1606	1855
464	1609	1851
465	1611	1846
466	1614	1842
467	1620	1841
468	1625	1840
469	1627	1835
470	1630	1831
471	1634	1828
472	1638	1825
473	1641	1821
474	1644	1817
475	1648	1814
476	1652	1811
477	1656	1808
478	1658	1803
479	1660	1799
480	1666	1798
481	1669	1794
482	1672	1789
483	1675	1786
484	1680	1784
485	1683	1780
486	1686	1776
487	1689	1772
488	1694	1770
489	1697	1767
490	1700	1762
491	1703	1758
492	1705	1754
493	1709	1751
494	1713	1747
495	1715	1743
496	1718	1739
497	1721	1735
498	1725	1732
499	1730	1730
500	1733	1727
501	1738	1724
502	1742	1721
503	1745	1717
504	1749	1714
505	1752	1711
506	1757	1708
507	1760	1705
508	1765	1702
509	1768	1699
510	1782	1705
511	1792	1708
512	1796	1705
513	1799	1701
514	1804	1699
515	1809	1697
516	1813	1693
517	1815	1689
518	1820	1687
519	1824	1684
520	1828	1681
521	1831	1677
522	1835	1674
523	1840	1671
524	1843	1667
525	1846	1663
526	1850	1661
527	1853	1656
528	1856	1653
529	1860	1650
530	1866	1648
531	1870	1645
532	1873	1641
533	1876	1637
534	1885	1638
535	1888	1635
536	1891	1630
537	1895	1627
538	1899	1624
539	1904	1622
540	1911	1621
541	1914	1617
542	1916	1613
543	1920	1609
544	1924	1606
545	1928	1603
546	1937	1604
547	1942	1602
548	1946	1598
549	1949	1595
550	1954	1592
551	1958	1589
552	1959	1583
553	1962	1579
554	1966	1576
555	1972	1574
556	1977	1572
557	1980	1569
558	1983	1564
559	1987	1561
560	1990	1557
561	1994	1554
562	1997	1550
563	2001	1547
564	2005	1543
565	2009	1540
566	2013	1537
567	2017	1534
568	2021	1531
569	2025	1527
570	2032	1527
571	2036	1524
572	2040	1520
573	2044	1517
574	2051	1516
575	2055	1513
576	2057	1508
577	2060	1504
578	2065	1502
579	2069	1498
580	2073	1495
581	2076	1491
582	2081	1488
583	2084	1485
584	2088	1481
585	2091	1477
586	2097	1475
587	2100	1471
588	2104	1468
589	2108	1465
590	2112	1461
591	2114	1457
592	2118	1454
593	2121	1450
594	2125	1446
595	2128	1442
596	2131	1439
597	2134	1434
598	2136	1430
599	2139	1426
600	2142	1422
601	2144	1417
602	2147	1413
603	2149	1409
604	2153	1405
605	2156	1401
606	2158	1397
607	2161	1393
608	2163	1389
609	2166	1384
610	2168	1380
611	2170	1376
612	2174	1372
613	2177	1368
614	2181	1365
615	2184	1361
616	2187	1357
617	2190	1353
618	2193	1349
619	2196	1345
620	2197	1341
621	2200	1337
622	2203	1333
623	2206	1329
624	2207	1324
625	2210	1320
626	2212	1315
627	2214	1311
628	2216	1307
629	2218	1303
630	2221	1299
631	2223	1294
632	2226	1290
633	2229	1286
634	2231	1282
635	2233	1278
636	2236	1274
637	2240	1271
638	2243	1267
639	2247	1264
640	2249	1260
641	2251	1255
642	2254	1251
643	2256	1247
644	2259	1243
645	2261	1239
646	2264	1235
647	2266	1231
648	2270	1227
649	2272	1223
650	2274	1219
651	2276	1215
652	2279	1211
653	2282	1207
654	2285	1203
655	2287	1199
656	2291	1196
657	2294	1192
658	2296	1188
659	2299	1184
660	2302	1180
661	2304	1176
662	2307	1172
663	2310	1169
664	2312	1165
665	2315	1161
666	2318	1157
667	2320	1153
668	2322	1148
669	2324	1144
670	2326	1140
671	2329	1136
672	2330	1132
673	2333	1128
674	2334	1124
675	2336	1120
676	2339	1116
677	2342	1112
678	2345	1108
679	2347	1104
680	2349	1100
681	2352	1096
682	2355	1093
683	2357	1089
684	2360	1085
685	2362	1081
686	2365	1077
687	2367	1073
688	2370	1069
689	2372	1066
690	2375	1062
691	2377	1058
692	2380	1054
693	2383	1050
694	2386	1047
695	2389	1043
696	2391	1039
697	2394	1035
698	2397	1032
699	2399	1028
700	2402	1024
701	2404	1020
702	2406	1016
703	2409	1012
704	2412	1009
705	2415	1005
706	2418	1002
707	2420	998
708	2422	994
709	2425	990
710	2428	987
711	2432	983
712	2434	980
713	2437	976
714	2441	973
715	2444	969
716	2447	965
717	2450	962
718	2455	959
719	2461	957
720	2469	955
721	2473	952
722	2476	948
723	2478	944
724	2480	941
725	2483	937
726	2486	933
727	2490	930
728	2492	926
729	2495	922
730	2497	918
731	2499	915
732	2501	911
733	2504	907
734	2507	903
735	2510	900
736	2512	896
737	2515	892
738	2517	889
739	2519	885
740	2521	881
741	2523	877
742	2526	873
743	2529	870
744	2532	866
745	2535	863
746	2537	859
747	2538	855
748	2541	851
749	2543	847
750	2545	844
751	2547	840
752	2549	836
753	2551	832
754	2554	829
755	2556	825
756	2558	821
757	2561	817
758	2563	813
759	2565	810
760	2569	806
761	2571	803
762	2574	799
763	2577	796
764	2579	792
765	2582	788
766	2584	785
767	2587	781
768	2589	777
769	2592	774
770	2594	770
771	2598	767
772	2601	763
773	2603	760
774	2605	756
775	2608	753
776	2613	749
777	2617	746
778	2622	743
779	2626	740
780	2632	738
781	2635	734
782	2637	731
783	2640	727
784	2642	723
785	2644	720
786	2647	716
787	2649	712
788	2651	709
789	2654	705
790	2656	701
791	2658	698
792	2661	694
793	2663	691
794	2665	687
795	2668	684
796	2672	680
797	2675	677
798	2679	674
799	2684	671
800	2687	667
801	2690	664
802	2694	660
803	2697	657
804	2701	654
805	2704	651
806	2710	648
807	2713	644
808	2716	641
809	2718	637
810	2721	634
811	2725	630
812	2728	627
813	2731	624
814	2734	620
815	2737	617
816	2740	613
817	2742	610
818	2746	606
819	2749	603
820	2752	600
821	2755	596
822	2759	593
823	2763	590
824	2765	586
825	2768	583
826	2771	579
827	2773	576
828	2776	572
829	2779	569
830	2783	566
831	2787	562
832	2790	559
833	2793	556
834	2795	552
835	2798	549
836	2802	545
837	2806	542
838	2810	539
839	2815	536
840	2819	533
841	2822	529
842	2825	526
843	2827	522
844	2830	519
845	2833	515
846	2836	512
847	2839	509
848	2842	505
849	2845	502
850	2848	498
851	2850	495
852	2853	491
853	2856	488
854	2859	484
855	2862	481
856	2865	478
857	2869	474
858	2872	471
859	2874	468
860	2877	464
861	2880	461
862	2884	457
863	2886	454
864	2888	450
865	2891	447
866	2894	443
867	2896	440
868	2899	437
869	2901	433
870	2904	430
871	2907	426
872	2909	423
873	2912	419
874	2915	416
875	2917	412
876	2919	409
877	2922	406
878	2924	402
879	2928	399
880	2931	395
881	2935	392
882	2937	389
883	2940	385
884	2943	382
885	2945	379
886	2948	375
887	2951	372
888	2953	368
889	2956	365
890	2959	362
891	2961	358
892	2963	355
893	2966	351
894	2969	348
895	2972	345
896	2975	341
897	2979	338
898	2982	335
899	2985	331
900	2988	328
901	2991	324
902	2993	321
903	2996	318
904	3000	314
905	3003	311
906	3007	308
907	3010	305
908	3013	301
909	3015	298
910	3017	294
911	3020	291
912	3022	288
913	3023	284
914	3026	281
915	3029	277
916	3032	274
917	3034	271
918	3036	267
919	3038	264
920	3040	260
921	3043	257
922	3045	254
923	3047	250
924	3049	247
925	3051	243
926	3053	240
927	3055	237
928	3058	233
929	3061	230
930	3063	227
931	3066	223
932	3068	220
933	3070	216
934	3072	213
935	3073	210
936	3076	206
937	3078	203
938	3080	200
939	3082	196
940	3085	193
941	3087	190
942	3089	186
943	3091	183
944	3094	180
945	3096	176
946	3098	173
947	3100	170
948	3102	166
949	3106	163
950	3113	160
951	3118	157
952	3120	153
953	3123	150
954	3126	147
955	3129	144
956	3132	140
957	3135	137
958	3136	134
959	3138	130
960	3141	127
961	3144	124
962	3146	120
963	3149	117
964	3152	114
965	3154	111
966	3157	107
967	3159	104
968	3162	101
969	3165	97
970	3168	94
971	3172	91
972	3174	88
973	3176	84
974	3178	81
975	3181	78
976	3183	74
977	3186	71
978	3188	68
979	3190	65
980	3192	61
981	3194	58
982	3196	55
983	3198	52
984	3200	48
985	3202	45
986	3204	42
987	3206	38
988	3208	35
989	3210	32
990	3214	29
991	3215	25
992	3218	22
993	3220	19
994	3222	16
995	3224	12
996	3228	9
997	3230	6
998	3232	3
999	3233	0
