iter	Logloss
0	0.6872420033
1	0.6810750561
2	0.6752321549
3	0.6698571297
4	0.6647384539
5	0.6590275115
6	0.654409933
7	0.6487908223
8	0.6432124634
9	0.6382161368
10	0.6334110855
11	0.6286877481
12	0.6230864087
13	0.6184786618
14	0.6134119313
15	0.6086759612
16	0.6041932287
17	0.5992068949
18	0.5942039072
19	0.5901262435
20	0.5849812157
21	0.5817311791
22	0.5774231184
23	0.5730764084
24	0.5686791049
25	0.5645908998
26	0.5608428499
27	0.5559549317
28	0.5516228175
29	0.5478375414
30	0.5440126015
31	0.5404335271
32	0.5367418315
33	0.5336158562
34	0.530371963
35	0.526763475
36	0.5230153377
37	0.5200349135
38	0.5172357485
39	0.5141128836
40	0.5108896533
41	0.5079137254
42	0.504449803
43	0.5017703909
44	0.4986280977
45	0.4959510318
46	0.4935013354
47	0.4913360325
48	0.488448858
49	0.485403229
50	0.4832041704
51	0.4804809786
52	0.4781076196
53	0.4752401916
54	0.472756788
55	0.4698055402
56	0.467299311
57	0.4646081097
58	0.4621992818
59	0.4592833271
60	0.4573007228
61	0.4549072654
62	0.452968905
63	0.4507147672
64	0.4489912092
65	0.4471173382
66	0.4447870636
67	0.4428177953
68	0.4400353886
69	0.4377789372
70	0.4358015879
71	0.4340284573
72	0.4327810814
73	0.4312851938
74	0.4290873419
75	0.4267885833
76	0.4249436121
77	0.4230630644
78	0.4209950556
79	0.4193779739
80	0.4177808026
81	0.4155387618
82	0.4137227539
83	0.4122094202
84	0.4109069226
85	0.4094765044
86	0.4079680239
87	0.4063375486
88	0.4049537483
89	0.4035962614
90	0.4018157298
91	0.4003436493
92	0.3983837822
93	0.3965106057
94	0.3950230462
95	0.393462103
96	0.3916301225
97	0.3900096007
98	0.3885438391
99	0.3874365709
100	0.3860722958
101	0.3848732284
102	0.3836251686
103	0.3824931773
104	0.3812966692
105	0.3800390817
106	0.3789639641
107	0.3781072075
108	0.376848448
109	0.3752485796
110	0.3742229752
111	0.3730778527
112	0.3721194882
113	0.3710660222
114	0.3698344118
115	0.3686937649
116	0.367329975
117	0.3660932599
118	0.3648361545
119	0.3637120051
120	0.3626744773
121	0.3614356427
122	0.3603034198
123	0.3592982441
124	0.3582130117
125	0.3569654211
126	0.355827578
127	0.3546225806
128	0.3536504929
129	0.3527206636
130	0.3513167967
131	0.3503930191
132	0.3493761448
133	0.3483642921
134	0.3476245013
135	0.3467303574
136	0.34586602
137	0.3449687504
138	0.3438738419
139	0.3426649172
140	0.3419471063
141	0.3410507029
142	0.340065268
143	0.3389521074
144	0.3382696172
145	0.337622256
146	0.336874614
147	0.3361882175
148	0.3354820335
149	0.3345805101
150	0.3340091845
151	0.3334295682
152	0.3326777784
153	0.3317675909
154	0.3311936283
155	0.3304667303
156	0.3299078581
157	0.3290864463
158	0.3285483521
159	0.327855604
160	0.3265892759
161	0.3257721361
162	0.3247797112
163	0.3240258851
164	0.3234826246
165	0.3226391467
166	0.3222511243
167	0.3215501033
168	0.3207307116
169	0.3197207968
170	0.319153711
171	0.3184955922
172	0.3179610565
173	0.317399789
174	0.316774485
175	0.3158548506
176	0.3153676333
177	0.3146676818
178	0.3140835961
179	0.3135136731
180	0.3129217243
181	0.3125221237
182	0.3119420988
183	0.3112343847
184	0.3106169836
185	0.3100680058
186	0.3094955712
187	0.308825909
188	0.3082190799
189	0.3076303485
190	0.3069854118
191	0.3062509477
192	0.3055907191
193	0.3049819906
194	0.304536388
195	0.3041476622
196	0.3035418304
197	0.3031380694
198	0.3027221134
199	0.3022219456
200	0.301789792
201	0.3010057936
202	0.3006261014
203	0.3000661075
204	0.299547223
205	0.299000141
206	0.2983308178
207	0.297737385
208	0.2973808814
209	0.2968135207
210	0.2963189188
211	0.2959771301
212	0.2953619287
213	0.2949140683
214	0.2943843247
215	0.2939312882
216	0.2931823832
217	0.2925786056
218	0.2918989323
219	0.2912414388
220	0.2908653165
221	0.2900047506
222	0.2896779105
223	0.2890124571
224	0.2885350108
225	0.2880606265
226	0.2877332409
227	0.2873229862
228	0.2870373191
229	0.2865268353
230	0.2857905372
231	0.2853159493
232	0.2847081923
233	0.2840787406
234	0.2837168161
235	0.2834549646
236	0.2829745516
237	0.2824419156
238	0.2820482352
239	0.2815600443
240	0.2809445022
241	0.2805455809
242	0.2799739995
243	0.2793389372
244	0.2788410501
245	0.2784385974
246	0.2781526304
247	0.2778023299
248	0.2773306115
249	0.2768053682
250	0.2761510318
251	0.2757105938
252	0.2752147824
253	0.2748496448
254	0.2745263763
255	0.2740931286
256	0.2736282137
257	0.2730818792
258	0.2726315201
259	0.2720842955
260	0.271675585
261	0.271281611
262	0.2708540497
263	0.2705018592
264	0.2702976083
265	0.2699562536
266	0.2695271676
267	0.2690991991
268	0.2686974506
269	0.2682101459
270	0.267571977
271	0.2671749804
272	0.2666236264
273	0.2662337921
274	0.2657140879
275	0.2652714838
276	0.2647825692
277	0.2644994085
278	0.26415443
279	0.2638786183
280	0.2634006522
281	0.2629672056
282	0.2626823106
283	0.2622642131
284	0.2619414902
285	0.2615844605
286	0.2612761654
287	0.260792574
288	0.2604307178
289	0.2600388815
290	0.2595666622
291	0.2592983246
292	0.2589781912
293	0.2586909057
294	0.2582129588
295	0.2577595278
296	0.2574980297
297	0.2569516214
298	0.2566760045
299	0.2563536451
300	0.2557883797
301	0.2552906351
302	0.25481284
303	0.2542764716
304	0.2538525727
305	0.2534852936
306	0.2530897474
307	0.2528259008
308	0.2526403165
309	0.252509101
310	0.2522058589
311	0.2518607344
312	0.2516659469
313	0.2513150779
314	0.2509713669
315	0.2506664618
316	0.2503210565
317	0.2500988224
318	0.2499192775
319	0.2496852073
320	0.2492910691
321	0.2488291527
322	0.2485014103
323	0.2481123464
324	0.2478688904
325	0.2476022065
326	0.2473001124
327	0.2470172983
328	0.2467888017
329	0.2467021174
330	0.2465258345
331	0.2461708445
332	0.2456767606
333	0.2453024595
334	0.2448913987
335	0.244679034
336	0.2443135756
337	0.2441047566
338	0.2437646219
339	0.2432412325
340	0.2428349091
341	0.2422990069
342	0.2420255438
343	0.241873966
344	0.2414364849
345	0.2408659102
346	0.2407099747
347	0.2405676689
348	0.2403852961
349	0.2400785528
350	0.2397142492
351	0.2395346317
352	0.2393592685
353	0.2391567035
354	0.2389804112
355	0.2385360333
356	0.2382533682
357	0.2379445652
358	0.2377285419
359	0.2374542451
360	0.2370725913
361	0.2366963998
362	0.2364612245
363	0.2360330803
364	0.2356931111
365	0.2354636031
366	0.2351721695
367	0.2349703439
368	0.2346743901
369	0.2344274949
370	0.2341195286
371	0.2336112121
372	0.2333379271
373	0.2331055335
374	0.2329010832
375	0.2326553343
376	0.2323972695
377	0.2321175116
378	0.2317606406
379	0.2314350847
380	0.2310576049
381	0.2307305183
382	0.2305909204
383	0.2304670073
384	0.2301139581
385	0.229809456
386	0.2295963357
387	0.2291895575
388	0.2288892227
389	0.2286734309
390	0.2283872374
391	0.2280859553
392	0.2278391908
393	0.2275197345
394	0.2273691579
395	0.2271893635
396	0.2270473619
397	0.2267638267
398	0.2266578852
399	0.2263125788
400	0.2258611302
401	0.2255162018
402	0.2253661762
403	0.2251333181
404	0.2247508272
405	0.224380343
406	0.2241660891
407	0.223994096
408	0.2238198205
409	0.2235585167
410	0.223316126
411	0.2232426265
412	0.2230638486
413	0.222829355
414	0.222629192
415	0.2225600939
416	0.2224269533
417	0.2221514199
418	0.2220056855
419	0.2218356777
420	0.2216654464
421	0.2214559656
422	0.2213643293
423	0.2211012327
424	0.2208017734
425	0.2205930846
426	0.2203320604
427	0.2200342574
428	0.219727831
429	0.2194406032
430	0.2192555831
431	0.2190991937
432	0.2186995842
433	0.218429778
434	0.2182297214
435	0.2179979888
436	0.2178406384
437	0.2177644128
438	0.2174066649
439	0.2170985483
440	0.2170005027
441	0.2166662297
442	0.2163481636
443	0.2159241031
444	0.2156190499
445	0.2153343802
446	0.2150886521
447	0.2147834683
448	0.2145427631
449	0.2143198001
450	0.2140486868
451	0.2138216784
452	0.2136937995
453	0.2134249847
454	0.2133288973
455	0.2128717802
456	0.2126091379
457	0.2124261877
458	0.2121834925
459	0.2120045313
460	0.2117253966
461	0.2114718011
462	0.2111515689
463	0.2107701145
464	0.2104005012
465	0.2102691885
466	0.209998572
467	0.2097865899
468	0.2092955834
469	0.2089868979
470	0.2087338929
471	0.2083606911
472	0.2081321686
473	0.2079425571
474	0.207659438
475	0.2075043794
476	0.2072183008
477	0.2068257128
478	0.2068008986
479	0.2066404556
480	0.2064562828
481	0.2063148183
482	0.2060936333
483	0.2057601591
484	0.2053840322
485	0.2052390944
486	0.2051290639
487	0.204932562
488	0.2046750546
489	0.2044473454
490	0.2042577971
491	0.204010493
492	0.2036997275
493	0.2035132557
494	0.2030755494
495	0.2028089354
496	0.202700609
497	0.2025309746
498	0.2021973349
499	0.2020966451
500	0.2020272288
501	0.20167128
502	0.2013924941
503	0.2011328796
504	0.2008171629
505	0.2006146717
506	0.200374823
507	0.20012403
508	0.1997909147
509	0.1995921665
510	0.1993697657
511	0.1990775769
512	0.1987305345
513	0.1985453931
514	0.1983387211
515	0.1980518591
516	0.1977291192
517	0.1976484132
518	0.1973844453
519	0.1971692271
520	0.1969264385
521	0.1968242736
522	0.1965405143
523	0.1963362634
524	0.1960551039
525	0.1957809912
526	0.1956510391
527	0.1955396327
528	0.1953293505
529	0.1951094191
530	0.1948953578
531	0.1947361333
532	0.1945685759
533	0.1943846597
534	0.1941112301
535	0.1937149564
536	0.1936273117
537	0.1934096834
538	0.1932576021
539	0.1929885505
540	0.1928758358
541	0.1926686989
542	0.1925083034
543	0.1922097664
544	0.1919636349
545	0.1918160411
546	0.1916277498
547	0.1914011125
548	0.1912447863
549	0.1908579484
550	0.1906355581
551	0.1904969122
552	0.1904776287
553	0.1901944218
554	0.189997091
555	0.1898571677
556	0.1896641976
557	0.1894592208
558	0.1893162239
559	0.1890764737
560	0.1888302213
561	0.1886952763
562	0.1884942415
563	0.188412889
564	0.1882823248
565	0.1881215381
566	0.1879018197
567	0.1876211022
568	0.1874269977
569	0.1872358263
570	0.1871827574
571	0.1869562444
572	0.1867538139
573	0.1865394828
574	0.1863034777
575	0.1860125735
576	0.1857551994
577	0.1856410279
578	0.1854156379
579	0.1852585345
580	0.1849695168
581	0.1847969196
582	0.1846095722
583	0.1844827637
584	0.1843167756
585	0.1842363763
586	0.1841233175
587	0.18385989
588	0.1836179762
589	0.1834425332
590	0.1831025097
591	0.182975576
592	0.182870066
593	0.1826848089
594	0.1825392666
595	0.1823264836
596	0.1822124851
597	0.1821123748
