번호,시간,회사명,종목코드,공시제목,제출인
52,2011-12-30 17:54,미리넷,056710,[정정]회생절차개시결정[정],미리넷
51,2011-12-28 14:41,미성포리테크,094700,회생절차개시결정,미성포리테크
50,2011-12-22 17:37,CT&T,050470,회생절차개시결정,씨티앤티
49,2011-12-21 17:45,엘앤씨피,015390,파산신청,엘앤씨피
48,2011-12-20 16:46,엘앤씨피,015390,파산신청,엘앤씨피
47,2011-12-01 12:05,CT&T,050470,회생절차개시신청,씨티앤티
46,2011-11-30 17:40,미성포리테크,094700,회생절차개시신청,미성포리테크
45,2011-11-28 17:55,동화기업,025900,해산사유발생(자회사의 주요경영사항),동화기업
44,2011-11-28 15:51,동화기업,025900,해산사유발생(자회사의 주요경영사항),동화기업
43,2011-11-18 15:03,블루젬디앤씨,053040,파산신청,블루젬디앤씨
42,2011-11-07 14:42,미리넷,056710,[정정]회생절차개시결정[정],미리넷
41,2011-11-04 17:53,미리넷,056710,회생절차개시결정[정],미리넷
40,2011-10-24 15:33,미리넷,056710,회생절차개시신청,미리넷
39,2011-09-06 15:17,메디콕스,054180,파산신청 기각,메디콕스
38,2011-08-24 13:40,에피밸리,068630,회생계획 인가,에피밸리
37,2011-08-24 07:18,메디콕스,054180,파산신청,메디콕스
36,2011-07-19 18:06,이룸지엔지,050640,회생절차개시신청,이룸지엔지
35,2011-05-31 07:12,오리엔트정공,065500,회생절차개시신청,오리엔트정공
34,2011-05-11 17:43,에피밸리,068630,회생절차개시결정,에피밸리
33,2011-04-27 18:03,씨모텍,081090,회생절차개시결정,씨모텍
32,2011-04-18 16:57,콜마파마,038710,회생절차개시신청,콜마파마
31,2011-04-13 17:04,에피밸리,068630,회생절차개시신청,에피밸리
30,2011-04-12 13:10,씨모텍,081090,회생절차개시신청,씨모텍
29,2011-04-05 12:14,제이콤,060750,부도발생,제이콤
28,2011-03-25 07:07,엠엔에프씨,048640,회생절차개시신청,엠엔에프씨
27,2011-03-24 07:16,알티전자,032290,회생절차개시신청,케이디지엠텍
26,2010-11-15 15:24,케이에스피,073010,회생절차 종결결정,케이에스피
25,2010-11-02 17:55,케이에스피,073010,회생절차 종결신청,케이에스피
24,2010-10-26 17:49,하이드로젠파워,070080,부도발생,삼보오토
23,2010-10-26 17:49,하이드로젠파워,070080,회생절차개시신청,삼보오토
22,2010-08-24 17:40,네오세미테크,089240,회생절차개시신청,네오세미테크
21,2010-06-01 07:07,샤인시스템,066300,회생절차개시신청,샤인시스템
20,2010-04-12 07:06,단성일렉트론,085990,회생절차개시신청,영찬테크
19,2010-04-07 07:09,쌈지,033260,부도발생,쌈지
18,2010-03-23 14:29,GK파워,054020,부도발생,지케이파워
17,2010-02-25 16:06,테이크시스템,076090,파산신청,테이크시스템즈
16,2010-01-26 14:34,디보스,080140,회생절차 폐지결정,디보스
15,2009-10-27 17:43,나리지*온,036850,회생절차 종결결정,나리지*온
14,2009-10-14 13:36,나리지*온,036850,회생절차 종결신청,나리지*온
13,2009-08-26 14:39,케너텍,062730,[정정]회생절차개시결정,케너텍
12,2009-08-26 07:08,케너텍,062730,회생절차 폐지결정,케너텍
11,2009-08-11 17:24,디보스,080140,[정정]회생절차개시결정,디보스
10,2009-07-21 16:44,디보스,080140,[정정]회생절차개시결정[정],디보스
9,2009-07-07 16:40,케너텍,062730,[정정]회생절차개시결정[정],케너텍
8,2009-06-17 15:12,디보스,080140,[정정]회생절차개시결정[정],디보스
7,2009-04-21 15:07,디보스,080140,회생절차개시결정[정],디보스
6,2009-04-20 14:51,케너텍,062730,회생절차개시결정[정],케너텍
5,2009-04-07 17:55,디보스,080140,회생절차개시신청,디보스
4,2009-03-19 16:01,포이보스,038810,회생절차개시결정,포이보스
3,2009-03-11 17:49,케너텍,062730,회생절차개시신청,케너텍
2,2009-02-16 07:16,포이보스,038810,회생절차개시신청,포이보스
1,2009-01-19 18:14,디에스피,016040,회생절차개시결정,디에스피이엔티
