번호,시간,회사명,종목코드,공시제목,제출인
55,2013-03-14 20:25,엘컴텍,037950,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],엘컴텍
54,2013-03-14 17:10,아라온테크,041060,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아라온테크
53,2013-03-14 16:32,아큐텍,013780,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아큐텍
52,2013-03-13 16:06,아이팩토리,053810,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이팩토리
51,2013-03-13 07:06,위다스,056810,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,위다스
50,2013-03-11 17:23,아이에이,038880,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이에이
49,2013-03-08 18:13,디브이에스,046400,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,루트원플러스
48,2013-03-05 17:27,오리엔탈정공,014940,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,오리엔탈정공
47,2013-02-18 17:08,마이스코,088700,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,마이스코
46,2013-02-15 15:06,엠텍비젼,074000,회생절차개시결정,에스피엠씨
45,2013-01-30 16:44,엠텍비젼,074000,회생절차개시신청,에스피엠씨
44,2013-01-18 15:39,삼우이엠씨,026250,회생절차개시결정,삼우이엠씨
43,2012-12-17 11:10,삼우이엠씨,026250,회생절차개시신청,삼우이엠씨
42,2012-11-02 16:30,엘컴텍,037950,회생절차개시결정,엘컴텍
41,2012-10-18 16:06,엘컴텍,037950,회생절차개시신청,엘컴텍
40,2012-09-21 16:26,SSCP,071660,회생절차개시신청,에스에스씨피
39,2012-09-18 18:01,SSCP,071660,부도발생,에스에스씨피
38,2012-08-01 17:21,금강제강,105070,부도발생,금강제강
37,2012-05-14 18:06,엔스퍼트,098400,파산신청,엔스퍼트
36,2012-04-27 16:30,동양텔레콤,007150,회생절차개시결정,동양텔레콤
35,2012-04-13 17:46,비앤비성원,015200,회생절차개시신청,성원
34,2012-04-02 07:18,동양텔레콤,007150,회생절차개시신청,동양텔레콤
33,2012-03-30 18:02,미주제강,002670,회생절차개시신청,미주제강
32,2012-03-23 17:37,엘앤씨피,015390,파산신청 기각,엘앤씨피
31,2012-03-21 16:36,보광티에스,066690,파산신청,보광티에스
30,2012-03-15 19:32,평안물산,037240,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,평안물산
29,2012-03-15 18:24,에이프로테크놀로지,045470,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,에이프로테크놀로지
28,2012-03-15 18:06,엘앤씨피,015390,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엘앤씨피
27,2012-03-15 17:28,얍엑스,060230,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,얍엑스
26,2012-03-15 16:52,엔스퍼트,098400,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엔스퍼트
25,2012-03-15 16:47,우경,025920,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,우경
24,2012-03-15 16:46,어울림 네트,042820,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,어울림 네트웍스
23,2012-03-15 16:39,쎄니트,037760,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,쎄니트
22,2012-03-15 16:28,씨앤케이인터,039530,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,씨앤케이인터내셔널
21,2012-03-15 16:22,씨앤케이인터,039530,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],씨앤케이인터내셔널
20,2012-03-15 15:59,아큐텍,013780,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아큐텍
