번호,시간,회사명,종목코드,공시제목,제출인
24,2002-10-31 18:27,정산애강,022220,부도발생및은행거래정지,정산애강
23,2002-10-08 12:06,대호특수강,021040,은행거래재개,대호특수강
22,2002-05-21 18:16,에이치엘비,028300,회사정리절차종결결정,에이치엘비
21,2002-04-17 17:42,에이치엘비,028300,회사정리절차종결신청,에이치엘비
20,2001-12-26 14:58,대호특수강,021040,회사정리절차개시결정,대호특수강
19,2001-12-26 08:10,대주산업,003310,화의채무변제완료보고서제출,대주산업
18,2001-11-30 19:10,대호특수강,021040,회사재산보전처분결정,대호특수강
17,2001-11-26 16:38,세븐코스프,017160,화의채무변제완료보고서제출,세븐코스프
16,2001-11-23 18:36,대호특수강,021040,회사정리절차개시신청,대호특수강
15,2001-10-11 18:33,대호특수강,021040,[정정]부도발생및은행거래정지,대호특수강
14,2001-10-11 17:50,대호특수강,021040,부도발생및은행거래정지[정],대호특수강
13,2001-02-22 18:34,엔케이바이오,019260,화의채무변제완료보고서제출,셀텍
12,2000-12-20 16:17,ST&I,031800,회사정리절차종결결정,에스티앤아이
11,2000-11-23 10:19,ST&I,031800,회사정리절차종결신청,에스티앤아이
10,2000-08-07 15:44,지노시스템,033850,화의채무변제완료보고서제출,지노시스템
9,2000-06-29 10:33,엠투엔,033310,화의채무변제완료보고서제출,엠투엔
8,2000-03-31 00:00,아진산업,013310,회사정리절차개시결정(아진산업(주)),
7,2000-03-31 00:00,에이치엘비,028300,은행거래재개(국제정공(주)),
6,2000-03-28 00:00,ST&I,031800,회사정리절차개시결정(씨티아이반도체(주) (1)),
5,2000-03-28 00:00,ST&I,031800,회사정리절차개시결정(씨티아이반도체(주) (2)),
4,2000-03-23 00:00,엔케이바이오,019260,은행거래재개((주)한올),
3,2000-02-09 00:00,에이치엘비,028300,회사정리절차개시결정(국제정공(주) (1)),
2,2000-02-09 00:00,에이치엘비,028300,회사정리절차개시결정(국제정공(주) (2)),
1,2000-01-31 00:00,엠투엔,033310,은행거래재개((주)우진산전),
